Konzept	Begriff	Begriffsvarianten	Quelle	Referenz	Wikidata_exact	Wikidata-Label	Wikidata_close	Label
Austrinken	wegtrinken		gemini-2.0-flash-thinking-exp-1219; GermaNet					
Schnell_große_Mengen_trinken	gierig aufsaugen		OT	https://www.openthesaurus.de/synonyme/gierig%20%28ein-___auf-%29saugen				
Schnell_große_Mengen_trinken	gierig einsaugen		OT	https://www.openthesaurus.de/synonyme/gierig%20%28ein-___auf-%29saugen				
Schnell_große_Mengen_trinken	heruntergießen	runtergießen	Sanders; GermaNet 					
Schnell_große_Mengen_trinken	herunterschütten	runterschütten	Sanders					
Schnell_große_Mengen_trinken	herunterspülen	runterspülen	GermaNet					
Schnell_große_Mengen_trinken	herunterstürzen	runterstürzen	Sanders					
Schnell_große_Mengen_trinken	hinabschütten		chatgpt-4o-latest-20241120					
Schnell_große_Mengen_trinken	hinabstürzen		GermaNet					
Schnell_große_Mengen_trinken	hineinkippen		GermaNet					
Schnell_große_Mengen_trinken	hineinschütten		GermaNet					
Schnell_große_Mengen_trinken	hinunterkippen		claude-3-5-sonnet-20241022; GermaNet					
Schnell_große_Mengen_trinken	hinunterspülen		LWP; GermaNet					
Schnell_große_Mengen_trinken	hinunterstürzen		D1; D9; LWP					
Schnell_große_Mengen_trinken	kippen1		GermaNet					
Schnell_große_Mengen_trinken	reinkippen		GermaNet					
Schnell_große_Mengen_trinken	reinschütten		GermaNet					
Schnell_große_Mengen_trinken	herunterkippen	runterkippen	gemini-2.0-flash-thinking-exp-1219; GermaNet					
Schnell_große_Mengen_trinken	wegkippen		gemini-2.0-flash-thinking-exp-1219					
Geräuschvoll_trinken	geräuschvoll trinken		OT	https://www.openthesaurus.de/synonyme/ger%C3%A4uschvoll%20trinken				
Geräuschvoll_trinken	schlappen		D1					
Geräuschvoll_trinken	schlürfen	schlurfen	OT; GermaNet	https://www.openthesaurus.de/synonyme/schl%C3%BCrfen				
Alkohol_trinken	Alkohol konsumieren		chatgpt-4o-latest-20241120					
Alkohol_trinken	Alkohol trinken		OT	https://www.openthesaurus.de/synonyme/Alkohol+trinken; https://www.openthesaurus.de/synonyme/%28viel%20Alkohol%29%20trinken 				
Alkohol_trinken	antrinken		GermaNet					
Alkohol_trinken	bechern		OT; GermaNet	https://www.openthesaurus.de/synonyme/bechern				
Alkohol_trinken	begießen		D9					
Alkohol_trinken	berauschen		LWP					
Alkohol_trinken	bürsten		D1; D9					
Alkohol_trinken	durch die Gurgel jagen		D1					
Alkohol_trinken	eine Flasche auspicheln		D1					
Alkohol_trinken	eine Flasche den Hals brechen		D1					
Alkohol_trinken	einen heben		OT	https://www.openthesaurus.de/synonyme/einen%20heben				
Alkohol_trinken	einen über den Durst trinken		OT	https://www.openthesaurus.de/synonyme/einen%20%C3%BCber%20den%20Durst%20trinken				
Alkohol_trinken	einen verlöten		OT	https://www.openthesaurus.de/synonyme/einen%20verl%C3%B6ten				
Alkohol_trinken	einen zu Gemüte führen		D1					
Alkohol_trinken	einheizen		D9					
Alkohol_trinken	genehmigen		D9					
Alkohol_trinken	in die Kanne steigen		D1					
Alkohol_trinken	ins Glas schauen		OT	https://www.openthesaurus.de/synonyme/ins%20Glas%20schauen				
Alkohol_trinken	kippen2		D1					
Alkohol_trinken	kneipen		D1					
Alkohol_trinken	kübeln		LWP					
Alkohol_trinken	kümmeln		D1; GermaNet					
Alkohol_trinken	nehmen		D9					
Alkohol_trinken	pfeifen		D1					
Alkohol_trinken	picheln		D1					
Alkohol_trinken	plätschern		D9					
Alkohol_trinken	pokulieren		Sanders					
Alkohol_trinken	pullen		D1					
Alkohol_trinken	Salamander reiben		D1		https://www.wikidata.org/wiki/Q2213836	Salamander		
Alkohol_trinken	saufen		OT	https://www.openthesaurus.de/synonyme/saufen				
Alkohol_trinken	säuseln		Sanders					
Alkohol_trinken	schlauchen		GermaNet					
Alkohol_trinken	schmettern		D1					
Alkohol_trinken	schnäpseln		GermaNet					
Alkohol_trinken	schnapsen		D1; GermaNet					
Alkohol_trinken	sich abschießen		OT	https://www.openthesaurus.de/synonyme/sich%20abschie%C3%9Fen				
Alkohol_trinken	sich bedudeln		Sanders					
Alkohol_trinken	sich beduseln		Sanders					
Alkohol_trinken	sich begigeln		D1					
Alkohol_trinken	sich behammeln		D1					
Alkohol_trinken	sich beknillen		D1					
Alkohol_trinken	sich beknüllen		Sanders					
Alkohol_trinken	sich beknüppeln		D1					
Alkohol_trinken	sich benebeln		Sanders					
Alkohol_trinken	sich besaufen 		OT	https://www.openthesaurus.de/synonyme/sich%20besaufen				
Alkohol_trinken	sich besäuseln		Sanders					
Alkohol_trinken	sich beschickern		D1					
Alkohol_trinken	sich beschwipsen		D1					
Alkohol_trinken	sich betrinken		OT	https://www.openthesaurus.de/synonyme/sich+betrinken				
Alkohol_trinken	sich bezechen		D1; Sanders					
Alkohol_trinken	sich die Birne wegschießen		chatgpt-4o-latest-20241120					
Alkohol_trinken	sich die Birne zuhauen		gemini-2.0-flash-thinking-exp-1219					
Alkohol_trinken	sich die Hucke vollsaufen 		OT	https://www.openthesaurus.de/synonyme/sich%20die%20Hucke%20vollsaufen				
Alkohol_trinken	sich die Kante geben		OT	https://www.openthesaurus.de/synonyme/sich%20die%20Kante%20geben				
Alkohol_trinken	sich die Kehle anfeuchten		OT	https://www.openthesaurus.de/synonyme/sich%20die%20Kehle%20anfeuchten				
Alkohol_trinken	sich die Kehle öhlen		OT	https://www.openthesaurus.de/synonyme/sich%20die%20Kehle%20%C3%B6len				
Alkohol_trinken	sich die Nase begießen		D1					
Alkohol_trinken	sich einen ansaufen		D1					
Alkohol_trinken	sich einen auf die Lampe gießen		OT	https://www.openthesaurus.de/synonyme/sich%20einen%20auf%20die%20Lampe%20gie%C3%9Fen				
Alkohol_trinken	sich einen ballern		OT	https://www.openthesaurus.de/synonyme/sich%20einen%20ballern				
Alkohol_trinken	sich einen genehmigen 		OT	https://www.openthesaurus.de/synonyme/sich%20einen%20%28...%29%20genehmigen				
Alkohol_trinken	sich einen hinter die Binde kippen		OT	https://www.openthesaurus.de/synonyme/sich%20einen%20hinter%20die%20Binde%20kippen				
Alkohol_trinken	sich einen Rausch antrinken		claude-3-5-sonnet-20241022					
Alkohol_trinken	sich einen zur Brust nehmen		OT	https://www.openthesaurus.de/synonyme/sich%20einen%20zur%20Brust%20nehmen				
Alkohol_trinken	sich sinnlos betrinken		OT	https://www.openthesaurus.de/synonyme/sich%20sinnlos%20betrinken				
Alkohol_trinken	sich volldröhnen		chatgpt-4o-latest-20241120					
Alkohol_trinken	sich volllaufen lassen		OT	https://www.openthesaurus.de/synonyme/sich%20volllaufen%20lassen				
Alkohol_trinken	sich vollsaufen		LWP					
Alkohol_trinken	sich zudröhnen		OT	https://www.openthesaurus.de/synonyme/sich%20zudr%C3%B6hnen				
Alkohol_trinken	sich zulaufen lassen 		OT	https://www.openthesaurus.de/synonyme/sich%20zulaufen%20lassen				
Alkohol_trinken	sich zulöten		chatgpt-4o-latest-20241120					
Alkohol_trinken	sich zusaufen		OT	https://www.openthesaurus.de/synonyme/sich%20zusaufen				
Alkohol_trinken	sich zuschütten		OT	https://www.openthesaurus.de/synonyme/sich+zusch%C3%BCtten				
Alkohol_trinken	spendieren		D9					
Alkohol_trinken	süffeln		gemini-2.0-flash-thinking-exp-1219; GermaNet					
Alkohol_trinken	süppeln		OT; GermaNet	https://www.openthesaurus.de/synonyme/s%C3%BCppeln				
Alkohol_trinken	tanken		LWP					
Alkohol_trinken	trudeln		D1					
Alkohol_trinken	verdrücken		D9					
Alkohol_trinken	verlöten		D1					
Alkohol_trinken	verpitschen	eine Flasche Wein verpitschen	OT	https://www.openthesaurus.de/synonyme/%28eine%20Flasche%20Wein%20o.%C3%A4.%29%20verpitschen				
Alkohol_trinken	vertilgen		D9					
Alkohol_trinken	wegballern		gemini-2.0-flash-thinking-exp-1219					
Alkohol_trinken	zechen		OT	https://www.openthesaurus.de/synonyme/zechen				
Alkohol_trinken	zischen		GermaNet					
Alkohol_trinken	zu tief ins Glas gucken		D1					
Alkohol_trinken	zwitschern		D1; D9; GermaNet					
Getränk	das Trinken		OT	https://www.openthesaurus.de/synonyme/%28das%29%20Trinken				
Getränk	Drink		OT	https://www.openthesaurus.de/synonyme/Drink				
Getränk	Durstlöscher		OT; GermaNet	https://www.openthesaurus.de/synonyme/Durstl%C3%B6scher				
Getränk	Flüssignahrung		chatgpt-4o-latest-20241120					
Getränk	Gesöff		OT	https://www.openthesaurus.de/synonyme/Ges%C3%B6ff				
Getränk	Getränk		OT	https://www.openthesaurus.de/synonyme/Getr%C3%A4nk				
Getränk	Trank		OT; GermaNet	https://www.openthesaurus.de/synonyme/Trank				
Getränk	Trinkbares		LWP	https://corpora.uni-leipzig.de/de/res?corpusId=deu_news_2022&word=Trinkbares				
Getränk	Trinkware		chatgpt-4o-latest-20241120					
Getränk	Tropfen		OT	https://www.openthesaurus.de/synonyme/Tropfen				
Getränk	Trunk		OT; GermaNet	https://www.openthesaurus.de/synonyme/Trunk				
Alkoholfreies_Kaltgetränk	Smoothie		OT	https://www.openthesaurus.de/synonymeSmoothie	https://www.wikidata.org/wiki/Q13290	Smoothie		
Alkoholfreies_Kaltgetränk	Ganzfruchtgetränk		OT	https://www.openthesaurus.de/synonyme/Ganzfruchtgetr%C3%A4nk				
Alkoholfreies_Kaltgetränk	Eiskaffee				https://www.wikidata.org/wiki/Q968554	Eiskaffee		
Wasser	Arbeitersekt		OT	https://www.openthesaurus.de/synonyme/Arbeitersekt	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Born		Sanders					
Wasser	Brause1		D1		https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Brunnenwasser		chatgpt-4o-latest-20241120; LWP					
Wasser	Brunnewitzer		D1		https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Gänsewein		OT	https://www.openthesaurus.de/synonyme/G%C3%A4nsewein	https://www.wikidata.org/wiki/Q22236197	Gänsewein		
Wasser	Kraneberger	Kranenberger	OT	https://www.openthesaurus.de/synonyme/Kraneberger; https://www.openthesaurus.de/synonyme/Kranenberger 	https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Kranwasser		OT	https://www.openthesaurus.de/synonyme/Kranwasser	https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Kribbelwasser		OT	https://www.openthesaurus.de/synonyme/Kribbelwasser	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Lauterbacher		Sanders		https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Lauterbrunner		D1; Sanders		https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Leitungswasser		OT	https://www.openthesaurus.de/synonyme/Leitungswasser	https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Mineralwasser		OT; GermaNet	https://www.openthesaurus.de/synonyme/Mineralwasser	https://www.wikidata.org/wiki/Q178921	Mineralwasser		
Wasser	Proletariersekt		D1		https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Pumpenheimer		D1; Sanders		https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Quellwasser		gemini-2.0-flash-thinking-exp-1219					
Wasser	Rohrperle		OT	https://www.openthesaurus.de/synonyme/Rohrperle	https://www.wikidata.org/wiki/Q506004	Leitungswasser		
Wasser	Sauerbrunnen		GermaNet; LWP		https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Säuerling		D1; GermaNet		https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	saurer Sprudel		OT	https://www.openthesaurus.de/synonyme/saurer%20Sprudel	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Selters		OT; GermaNet	https://www.openthesaurus.de/synonyme/Selters	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Selterswasser		OT; Sanders; GermaNet	https://www.openthesaurus.de/synonyme/Selterswasser	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Siphon		D1					
Wasser	Soda		OT; GermaNet	https://www.openthesaurus.de/synonyme/Soda	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Sodawasser		OT; GermaNet	https://www.openthesaurus.de/synonyme/Sodawasser	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Spring		Sanders					
Wasser	Spritzwasser		HW10		https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Sprudel		OT; GermaNet	https://www.openthesaurus.de/synonyme/Sprudel	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Sprudelwasser		OT; GermaNet	https://www.openthesaurus.de/synonyme/Sprudelwasser	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Wasser	Stilles Wasser	stilles Wasser	OT; GermaNet	https://www.openthesaurus.de/synonyme/stilles%20Wasser				
Wasser	Tafelwasser		OT	https://www.openthesaurus.de/synonyme/Tafelwasser	https://www.wikidata.org/wiki/Q1168872	Tafelwasser		
Wasser	Trinkwasser		OT; GermaNet	https://www.openthesaurus.de/synonyme/Trinkwasser				
Wasser	Wasser		OT	https://www.openthesaurus.de/synonyme/Wasser				
Wasser	Wasser mit Zisch		OT	https://www.openthesaurus.de/synonyme/Wasser%20mit%20Zisch	https://www.wikidata.org/wiki/Q264554	Sprudelwasser		
Softdrink	Bitter Lemon		GermaNet		https://www.wikidata.org/wiki/Q365065	Bitter Lemon		
Softdrink	Brause2		OT; GermaNet	https://www.openthesaurus.de/synonyme/Brause	https://www.wikidata.org/wiki/Q902324	Brause; “kohlensäurehaltige Erfrischungsgetränke”		
Softdrink	Brauselimonade		Sanders		https://www.wikidata.org/wiki/Q893	Limonade		
Softdrink	Coca-Cola	Cola	OT	https://www.openthesaurus.de/synonyme/Coca-Cola; https://www.openthesaurus.de/synonyme/Cola 	https://www.wikidata.org/wiki/Q2813	Coca-Cola		
Softdrink	Coke		OT	https://www.openthesaurus.de/synonyme/Coke	https://www.wikidata.org/wiki/Q2813	Coca-Cola		
Softdrink	Colagetränk		GermaNet		https://www.wikidata.org/wiki/Q2813	Coca-Cola		
Softdrink	Eistee		gemini-2.0-flash-thinking-exp-1219		https://www.wikidata.org/wiki/Q348958	Eistee		
Softdrink	Erfrischungsgetränk		OT	https://www.openthesaurus.de/synonyme/Erfrischungsgetr%C3%A4nk				
Softdrink	Fassbrause		GermaNet		https://www.wikidata.org/wiki/Q1397571	Fassbrause		
Softdrink	Ginger Ale		GermaNet		https://www.wikidata.org/wiki/Q1162763	Ginger Ale		
Softdrink	Ingwerbier		D1; GermaNet		https://www.wikidata.org/wiki/Q1448819	Ginger Beer		
Softdrink	Lakritzenwasser		Sanders					
Softdrink	Limonade	Limo	OT	https://www.openthesaurus.de/synonyme/Limonade; https://www.openthesaurus.de/synonyme/Limo 	https://www.wikidata.org/wiki/Q893	Limonade		
Softdrink	Orangeade		Sanders		https://www.wikidata.org/wiki/Q604712			
Softdrink	Orangenlimonade		GermaNet		https://www.wikidata.org/wiki/Q604712			
Softdrink	Scherbet		Sanders		https://www.wikidata.org/wiki/Q13302	Sorbet		
Softdrink	Serbet		Sanders		https://www.wikidata.org/wiki/Q13302	Sorbet		
Softdrink	Sirup		D1; D9		https://www.wikidata.org/wiki/Q6584340	Sirup		
Softdrink	Softdrink		OT	https://www.openthesaurus.de/synonyme/Softdrink				
Softdrink	Sorbet		Sanders		https://www.wikidata.org/wiki/Q13302	Sorbet		
Softdrink	Tonic Water		GermaNet		https://www.wikidata.org/wiki/Q237315	Tonic Water		
Softdrink	Zitronenlimonade		GermaNet		https://www.wikidata.org/wiki/Q5532669	Citruslimonade		
Softdrink	Zuckersaft		LWP					
Softdrink	Zuckerwasser		OT		https://www.wikidata.org/wiki/Q6554268	Zuckerwasser		
Saft	Ananassaft		D9		https://www.wikidata.org/wiki/Q3190226	Ananassaft		
Saft	Apfelsaft		OT	https://www.openthesaurus.de/synonyme/Apfelsaft	https://www.wikidata.org/wiki/Q618355	Apfelsaft		
Saft	Apfelsaftschorle	Apfelschorle	OT	https://www.openthesaurus.de/synonyme/Apfelsaftschorle; https://www.openthesaurus.de/synonyme/Apfelschorle 	https://www.wikidata.org/wiki/Q3053970	Apfelschorle		
Saft	Fruchtnektar		GermaNet		https://www.wikidata.org/wiki/Q2719623	Nektar		
Saft	Fruchtsaft		OT	https://www.openthesaurus.de/synonyme/Fruchtsaft	https://www.wikidata.org/wiki/Q20932605	Fruchtsaft		
Saft	Gemüsesaft		OT; GermaNet		https://www.wikidata.org/wiki/Q1501257	Gemüsesaft		
Saft	Karottensaft		GermaNet		https://www.wikidata.org/wiki/Q1190074	Karottensaft		
Saft	Most		OT	https://www.openthesaurus.de/synonyme/Most	https://www.wikidata.org/wiki/Q18201657	Most		
Saft	Multivitaminsaft		GermaNet		https://www.wikidata.org/wiki/Q68497783	Multivitaminsaft		
Saft	Nektar		D9; GermaNet		https://www.wikidata.org/wiki/Q2719623	Nektar		
Saft	Obstsaft		LWP	https://corpora.uni-leipzig.de/de/res?corpusId=deu_news_2022&word=Obstsaft	https://www.wikidata.org/wiki/Q20932605	Fruchtsaft		
Saft	Orangensaft	O-Saft	OT	https://www.openthesaurus.de/synonyme/Orangensaft; https://www.openthesaurus.de/synonyme/O-saft 	https://www.wikidata.org/wiki/Q219059	Orangensaft		
Saft	Saft		OT	https://www.openthesaurus.de/synonyme/Saft				
Saft	Süßmost		GermaNet		https://www.wikidata.org/wiki/Q5977438	Süßmost		
Saft	Tomatensaft		D9		https://www.wikidata.org/wiki/Q787325	Tomatensaft		
Saft	Traubenmost		OT	https://www.openthesaurus.de/synonyme/Traubenmost	https://www.wikidata.org/wiki/Q278818	Traubenmost		
Saft	Traubensaft		D9		https://www.wikidata.org/wiki/Q1209756	Traubensaft		
Kaltes_Milchgetränk	Bananenmilch		GermaNet				https://www.wikidata.org/wiki/Q5458209 	
Kaltes_Milchgetränk	Büchsenmilch		OT	https://www.openthesaurus.de/synonyme/B%C3%BCchsenmilch	https://www.wikidata.org/wiki/Q2830455	Kondensmilch		
Kaltes_Milchgetränk	Buttermilch		D1		https://www.wikidata.org/wiki/Q106612	Buttermilch		
Kaltes_Milchgetränk	Dickmilch		D1		https://www.wikidata.org/wiki/Q253333	Dickmilch		
Kaltes_Milchgetränk	Dosenmilch		OT	https://www.openthesaurus.de/synonyme/Dosenmilch	https://www.wikidata.org/wiki/Q2830455	Kondensmilch		
Kaltes_Milchgetränk	Erdbeermilch		GermaNet		https://www.wikidata.org/wiki/Q7622520	Erdbeermilch		
Kaltes_Milchgetränk	Eselsmilch		Sanders		https://www.wikidata.org/wiki/Q1239497	Eselsmilch		
Kaltes_Milchgetränk	Frischmilch		D9					
Kaltes_Milchgetränk	gestandene Milch		D1		https://www.wikidata.org/wiki/Q253333	Dickmilch		
Kaltes_Milchgetränk	Hafermilch		OT; chatgpt-4o-latest-20241120	https://www.openthesaurus.de/synonyme/Hafermilch	https://www.wikidata.org/wiki/Q20972637	Hafermilch		
Kaltes_Milchgetränk	haltbare Milch	H-Milch	OT	https://www.openthesaurus.de/synonyme/haltbare+Milch; https://www.openthesaurus.de/synonyme/H-Milch 	https://www.wikidata.org/wiki/Q13616188	H-Milch		
Kaltes_Milchgetränk	Kokosmilch		Sanders		https://www.wikidata.org/wiki/Q841779	Kokosmilch		
Kaltes_Milchgetränk	Kondensmilch		OT	https://www.openthesaurus.de/synonyme/Kondensmilch	https://www.wikidata.org/wiki/Q2830455	Kondensmilch		
Kaltes_Milchgetränk	Kuhmilch		OT	https://www.openthesaurus.de/synonyme/Kuhmilch	https://www.wikidata.org/wiki/Q10988133	Kuhmilch		
Kaltes_Milchgetränk	Kuhsaft		D1		https://www.wikidata.org/wiki/Q10988133	Kuhmilch		
Kaltes_Milchgetränk	Magermilch		OT; D9	https://www.openthesaurus.de/synonyme/Magermilch	https://www.wikidata.org/wiki/Q2352187	Magermilch		
Kaltes_Milchgetränk	Mandelmilch		Sanders		https://www.wikidata.org/wiki/Q975953	Mandelmilch		
Kaltes_Milchgetränk	Milch		OT	https://www.openthesaurus.de/synonyme/Milch				
Kaltes_Milchgetränk	Milchmischgetränk		OT	https://www.openthesaurus.de/synonyme/Milchmischgetr%C3%A4nk	https://www.wikidata.org/wiki/Q1934437	Milchmischerzeugnis		
Kaltes_Milchgetränk	Milchmixgetränk		OT	https://www.openthesaurus.de/synonyme/Milchmixgetr%C3%A4nk	https://www.wikidata.org/wiki/Q1934437	Milchmischerzeugnis		
Kaltes_Milchgetränk	Milchshake	Milkshake	OT	https://www.openthesaurus.de/synonyme/Milchshake; https://www.openthesaurus.de/synonyme/Milkshake 	https://www.wikidata.org/wiki/Q37159	Milchshake		
Kaltes_Milchgetränk	Pflanzenmilch		chatgpt-4o-latest-20241120		https://www.wikidata.org/wiki/Q2640574	Pflanzenmilch		
Kaltes_Milchgetränk	Reismilch		chatgpt-4o-latest-20241120		https://www.wikidata.org/wiki/Q715187	Reismilch		
Kaltes_Milchgetränk	Sauermilch		OT; D9	https://www.openthesaurus.de/synonyme/Sauermilch	https://www.wikidata.org/wiki/Q253333	Dickmilch		
Kaltes_Milchgetränk	saure Milch		D1; D9		https://www.wikidata.org/wiki/Q253333	Dickmilch		
Kaltes_Milchgetränk	Schickermilch		OT	https://www.openthesaurus.de/synonyme/Schlickermilch				
Kaltes_Milchgetränk	Sojamilch		OT; D9	https://www.openthesaurus.de/synonyme/Sojamilch	https://www.wikidata.org/wiki/Q192199	Sojamilch		
Kaltes_Milchgetränk	Trinkmilch		OT	https://www.openthesaurus.de/synonyme/Trinkmilch				
Kaltes_Milchgetränk	Vollmilch		OT	https://www.openthesaurus.de/synonyme/Vollmilch	https://www.wikidata.org/wiki/Q3374445	Vollmilch		
Kaltes_Milchgetränk	Ziegenmilch		Sanders		https://www.wikidata.org/wiki/Q1418287	Ziegenmilch		
Alkoholfreies_Heißgetränk	Aufgussgetränk		OT	https://www.openthesaurus.de/synonyme/Aufgussgetr%C3%A4nk				
Kaffee	Blümchenkaffee		OT; D9; GermaNet	https://www.openthesaurus.de/synonyme/Bl%C3%BCmchenkaffee	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Bodenseekaffee		OT	https://www.openthesaurus.de/synonyme/Bodenseekaffee	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Bohnenkaffee		chatgpt-4o-latest-20241120; GermaNet; LWP					
