xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell	Quote	Falsche Zusätzliche	ExaktGleich	Konzeptgruppe
EM00566	Milch	Substantiv	Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
EM00567	Brieschmilch	Substantiv	die erste Milch der Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
EM00571	Geisenmilch	Substantiv	Ziegenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
EM00577	Surmilch	Substantiv	Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
EM00624	Molzer	Substantiv	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	1/1	0	True	Getränk
EM00633	mëmm(e)len	Verb	in der Kindersprache trinken	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EM00633	mëmm(e)len	Verb	behaglich und in kleinen Zügen wiederholt trinken, von älteren Leuten und von Gewohnheitstrinkern	Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken	1/1	0	True	Trinken
EM00634	Mëmm; Mëmm(e)le	Substantiv	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/2	1	False	Getränk
EM01217	Elfermëss	Substantiv	übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	kein_Trinken		0/1	1	False	Getränk
EM01478	Most II, Muschk	Substantiv	süsser Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EM01478	Most II, Muschk	Substantiv	süsser Traubenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EM01516	Mët(er)	Substantiv	Met	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1	False	Getränk
EN00683	Näz	Substantiv	schlechtes Getränk	Getränk	Getränk	Getränk	1/1	0	True	Getränk
EP00137	bëcheren	Verb	zechen, pokulieren, tüchtig trinken	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	1/2	0	False	Trinken
EP00228	büchsen	Verb	trinken	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EP00295	bafen, bäfen	Verb	trinken	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EP00297	baferen, bäferen	Verb	tüchtig trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	Trinken
EP00429	packen	Verb	trinken	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EP00701	Totenbaümpolitur	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EP00808	belzen	Substantiv	trinken, saufen	Trinken; Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	1/2	0	False	Trinken
EP00812	us belzen	Substantiv	leer trinken	Trinken.Austrinken	Trinken.Austrinken	Trinken.Austrinken	1/1	0	True	Trinken
EP00881	Bemmeri	Substantiv	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP00974	Bumpes	Substantiv	gepantschter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP01277	panschen, banschen	Verb	viel, tüchtig essen oder trinken	Trinken.Schnell_große_Mengen_trinken	kein_Trinken		0/1	1	False	Trinken
EP01449	Bupperi	Substantiv	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP01634	Bier	Substantiv	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	1/1	0	True	Getränk
EP01789	Bërliner	Substantiv	schlechter Schnaps, auch Bërliner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EP01858	bürsten	Verb	viel trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	Trinken
EP01859	us bursten	Verb	austrinken	Trinken.Austrinken	Trinken.Austrinken	Trinken.Austrinken	1/1	0	True	Trinken
EP02080	Position	Substantiv	ein gewöhnliches Trinkglas voll Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EP02088	busen	Verb	trinken, den Durst löschen	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EP02310	Petrol	Substantiv	Fusel, gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EP02606	Rachenbutzer	Substantiv	saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP02832	pfëtzen	Verb	trinken	Trinken	Trinken	Trinken	1/1	0	True	Trinken
EP03252	Plämpel, Bämpel	Substantiv	träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/2	0	False	Getränk
EP03335	Plappri, Plappkli	Substantiv	schwaches Getränk, insb. von Wein und Kaffee gesagt	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	2/3	0	False	Getränk
EP03365	blasen	Verb	trinken, gern und viel	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken	1/1	1	False	Trinken
EP03369	us blasen	Verb	austrinken	Trinken.Alkohol_trinken;Trinken.Austrinken	Trinken.Austrinken	Trinken.Austrinken	1/2	0	False	Trinken
EP03708	Brüej(e)	Substantiv	Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	2	False	Getränk
EP03708	Brüej(e)	Substantiv	schlechte Suppe, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	1/1	1	False	Getränk
EP03711	Bankerottbrüej	Substantiv	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP03723	Leimenbrüej	Substantiv	scherzhaft für den lehmfarbigen neuen Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP03724	Qutschelbrüej	Substantiv	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	0	True	Getränk
EP03727	Schnitzbrüej	Substantiv	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
EP03750	Brocken	Substantiv	Hunger, Durst	Durst	Durst	Durst; Hunger	1/1	0	True	Durst
EP03894	Brand	Substantiv	Durst	Durst	Durst	Durst	1/1	0	True	Durst
EP03930	Brenz	Substantiv	Schnaps, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EP04065	Briest, Briesch	Substantiv	Milch einer frischmelkenden Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
EP04065	Briest, Briesch	Substantiv	gestockte junge Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	0	True	Getränk
ER00626	Rum I	Substantiv	Rum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
ER00670	Rämpes	Substantiv	geringer Schnaps; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	2/2	0	True	Getränk
ER00917	Räppes, Räppis, Räps	Substantiv	schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	0	True	Getränk
ER01113	Rissmichum	Substantiv	gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
ES00271	Seifel	Substantiv	minderwertiges Getränk, Bier oder Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	2/3	0	False	Getränk
ES00272	seiflen	Verb	geräuschvoll und anhaltend trinken	Trinken.Geräuschvoll_trinken; Trinken.Häufig_lange_trinken	Trinken.Geräuschvoll_trinken	Trinken.Geräuschvoll_trinken	1/1	0	False	Trinken
ES00280	sufen	Verb	saufen, vom Vieh	Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	Trinken
ES00280	sufen	Verb	grob von Menschen gesagt, trinken	Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	Trinken
ES00286	us sufen	Verb	leer saufen, leer trinken	Trinken.Austrinken	Trinken.Austrinken	Trinken.Austrinken	1/1	0	True	Trinken
ES00290	Suff	Substantiv	Saufgelage	Trinken.Alkohol_trinken	kein_Trinken		0/1	1	False	Trinken
ES00291	Sufens, Saufens	Substantiv	Zecherei	Trinken.Alkohol_trinken	kein_Trinken		0/1	1	False	Trinken
ES00292	Gsuff(s)	Substantiv	schlechtes Getränk	Getränk	Getränk	Getränk	1/1	0	True	Getränk
ES00292	Gsuff(s)	Substantiv	anhaltendes Trinken	Trinken.Häufig_lange_trinken	Trinken	Trinken	1/1	0	False	Trinken
ES00301	Suferei	Substantiv	Trinkgelage	Trinken.Alkohol_trinken	kein_Trinken		0/1	1	False	Trinken
ES00301	Suferei	Substantiv	Trinklust, Trinkerei	Trinken.Alkohol_trinken	kein_Trinken		0/1	1	False	Trinken
