xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	2.	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Obstwein	Obstwein	Obstwein; Fruchtwein; Obstwasser
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Fruchtwein; Obstwein	Fusel	Fusel; Branntewein; Feuerwasser; Kurzer; Schnaps	Fusel; Branntewein; Feuerwasser; Branntwein; Schnaps; Kurzer
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	1.	leichter Wein, hergestellt durch Vermischen mit Wasser	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Traubenmost
EL01180	Lappenlur(e), Lappenlür	Lappenlure, Lappenlur, Lappenlür	Substantiv	1.	schwacher, saurer, matter, verwässerter Wein oder Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Brühe; Geplämpe; Geschlapp; Kaffee; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre; Wein	Lurke; Caro-Kaffee; Plämpe; Plampel; Plempe	Lurke; Caro-Kaffee; Geplämpe; Plämpe; Gesöff; Plampel; Milchkaffee; Ballerbrühe; Plempe; Kaffee; Plörre	Lurke; Geplämpe; Caro-Kaffee; Ballerbrühe; Plämpe; Gesöff; Plampel; Milchkaffee; Plempe; Geschlapp; Kaffee; Plörre
EL01546	Lüterung	Lüterung	Substantiv	1.	Vorbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Feuerwasser; Branntewein	Feuerwasser; Anisschnaps; Schnaps; Branntewein; Branntwein	Feuerwasser; Anisschnaps; Schnaps; Branntewein; Branntwein; Kurzer
EM00566	Milch	Milch	Substantiv		Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Magermilch; Trinkmilch	Milch; Magermilch; Trinkmilch; Milchmixgetränk; Dosenmilch
EM00567	Brieschmilch	Brieschmilch	Substantiv		die erste Milch der Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Milch; Trinkmilch	Kuhmilch; Milch; Trinkmilch; Dosenmilch; Kakaomilch
EM00571	Geisenmilch	Geisenmilch	Substantiv	1.	Ziegenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Ziegenmilch	Ziegenmilch	Ziegenmilch; Kuhmilch; Milch	Ziegenmilch; Kuhmilch; Milch; Büchsenmilch; H-Milch
EM00577	Surmilch	Surmilch	Substantiv		Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	saure Milch; Sauermilch; Dickmilch	saure Milch; gestandene Milch; Sauermilch; Dickmilch; Schickermilch	saure Milch; gestandene Milch; Sauermilch; haltbare Milch; Magermilch; Dickmilch; Schickermilch; Kaffee mit aufgeschäumter Milch
EM00624	Molzer	Molzer	Substantiv	3.	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Kellerbier	Kellerbier; Altbier; Bockbier	Kellerbier; Altbier; Bockbier; Bier; Märzenbier
EM00634	Mëmm; Mëmm(e)le	Mëmm, Mëmmele, Mëmmle	Substantiv	1.	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch; Trinkbares	haltbare Milch	haltbare Milch; Milchmischgetränk; H-Milch	haltbare Milch; Milchmischgetränk; H-Milch; Milchmixgetränk; Trinkmilch
EM01478	Most II, Muschk	Most, Muschk	Substantiv	1.	süsser Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein; Apfelperlwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Roséwein
EM01478	Most II, Muschk	Most, Muschk	Substantiv	2.	süsser Traubenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Süßwein	Federweißer	Federweißer; Süßwein; Riesling	Federweißer; Süßwein; Riesling; Roséwein; Grauburgunder
EM01516	Mët(er)	Mëter, Mët	Substantiv		Met	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	Honigwein; Met	Met	Met; Ale; Bock	Met; Ale; Bock; Honigwein; Kellerbier
EN00683	Näz	Näz	Substantiv	4.	schlechtes Getränk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Trank; Getränk	Trunk; Trank; Getränk; Drink; das Trinken
EP00701	Totenbaümpolitur	Totenbaümpolitur	Substantiv	2.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Feuerwasser; Kurzer; Schnaps	Fusel; Branntewein; Feuerwasser; Branntwein; Schnaps; Kurzer
EP00881	Bemmeri	Bemmeri	Substantiv	2.	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Weinbrand; Traubenmost
EP00974	Bumpes	Bumpes	Substantiv	2.	gepantschter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Palmwein
EP01449	Bupperi	Bupperi	Substantiv	4.	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Tafelwein; Rebensaft	Wein; Tafelwein; Rebensaft; Gänsewein; Most
EP01634	Bier	Bier	Substantiv		Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Bockbier	Bier; Kellerbier; Bockbier; Altbier; Leichtbier
EP01789	Bërliner 	Bërliner	Substantiv	2.	schlechter Schnaps, auch Bërliner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel; Kranwasser	Fusel; Schnaps; Branntewein; Kranwasser; Absacker	Fusel; Schnaps; Branntewein; Branntwein; Tresterschnaps; Kranwasser; Absacker; Anisschnaps; Feuerwasser
EP02080	Position	Position	Substantiv	2.	ein gewöhnliches Trinkglas voll Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntewein; Branntwein	Branntewein; Branntwein; Kurzer; Schnaps	Branntewein; Branntwein; Kurzer; Schnaps; Feuerwasser; Fusel
EP02310	Petrol	Petrol	Substantiv	2.	Fusel, gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Schnaps; Fusel	Schnaps; Branntewein; Branntwein; Fusel	Schnaps; Branntewein; Branntwein; Feuerwasser; Kurzer; Fusel
EP02606	Rachenbutzer	Rachenbutzer	Substantiv	1.	saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Süßwein	Süßwein; Rebensaft; Hochprozentiges	Süßwein; Rebensaft; Hochprozentiges; Gänsewein; Reiswein
EP03252	Plämpel, Bämpel	Plämpel, Bämpel	Substantiv	2.	träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk	Gesöff; Kaffee mit Schuss; Caro-Kaffee	Gesöff; Trank; Trunk; Kaffee mit Schuss; das Trinken; Kaffee; Caro-Kaffee; Café	Gesöff; Trank; Trunk; das Trinken; Getränk; Kaffee mit Schuss; Kaffee; Caro-Kaffee; Café; billiger Alkohol
EP03335	Plappri, Plappkli	Plappri, Plappkli	Substantiv	2.	schwaches Getränk, insb. von Wein und Kaffee gesagt	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk; Wein	Kaffee; das Trinken	Kaffee; Trunk; Trank; das Trinken; Café	Kaffee; Trunk; Trank; das Trinken; Getränk; Café; Kaffee mit Schuss; Drink
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	1.	Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Traubensaft	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Süßwein
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	2.	schlechte Suppe, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Caro-Kaffee	Caro-Kaffee; Kaffee; Wein	Caro-Kaffee; Kaffee; Wein; Café; Plörre
EP03711	Bankerottbrüej	Bankerottbrüej	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Fruchtwein
EP03723	Leimenbrüej	Leimenbrüej	Substantiv		scherzhaft für den lehmfarbigen neuen Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser	Sauser	Sauser; Prädikatswein; Qualitätswein; Federweißer	Sauser; Prädikatswein; Qualitätswein; Rotwein; Roter; Federweißer; Weißer
EP03724	Qutschelbrüej	Qutschelbrüej	Substantiv	2.	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Gesöff	Gesöff; Brühe; Lorke	Gesöff; Brühe; Lorke; Plämpe; Plempe
EP03727	Schnitzbrüej	Schnitzbrüej	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Weinbrand
EP03930	Brenz	Brenz	Substantiv	1.	Schnaps, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Schnaps; Branntewein; Branntwein	Fusel; Schnaps; Branntewein; Branntwein; Feuerwasser; Kurzer
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	3.	gestockte junge Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	saure Milch	saure Milch; gestandene Milch; Dickmilch	saure Milch; gestandene Milch; Dickmilch; haltbare Milch; Magermilch
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	2.	Milch einer frischmelkenden Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	Kuhmilch	Kuhmilch; Milch; Trinkmilch	Kuhmilch; Milch; Trinkmilch; Schickermilch; Dosenmilch
ER00626	Rum I	Rum	Substantiv		Rum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Rum; Zuckerrohrschnaps	Rum	Rum; Spirituose; Gin; Cognac; Kognak	Rum; Spirituose; Gin; Whiskey; Whisky; Cognac; Kognak; Korn; Zuckerwasser
ER00670	Rämpes	Rämpes	Substantiv	1.	geringer Schnaps; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Branntewein; Branntwein; Fusel; Schnaps; Wein	Fusel; Weinbrand	Fusel; Wein; Weinbrand; Kurzer	Fusel; Wein; Weinbrand; Rebensaft; billiger Alkohol; Kurzer; Branntewein; Schnaps; Feuerwasser
ER00917	Räppes, Räppis, Räps	Räppes, Räppis, Räps	Substantiv	1.	schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser; Wein	Federweißer	Federweißer; Sauser; Weißer; Märzen	Federweißer; Sauser; Weißer; Rotwein; Roter; Märzen; Rebensaft; Weißwein; Prädikatswein
ER01113	Rissmichum	Rissmichum	Substantiv		gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Fusel; Schnaps	Fusel; Branntewein; Schnaps; Branntwein	Fusel; Branntewein; Schnaps; Branntwein; Kurzer
ES00271	Seifel	Seifel	Substantiv	3.	minderwertiges Getränk, Bier oder Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk; Wein	Trunk; Bier; das Trinken	Trunk; Trank; Gesöff; das Trinken; Bier	Trunk; Trank; Gesöff; das Trinken; Getränk; Drink; Bier
ES00292	Gsuff(s)	Gsuffs, Gsuff	Substantiv	2.	schlechtes Getränk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Trank; Getränk; das Trinken	Trunk; Trank; Getränk; Drink; das Trinken
ES00323	Saft	Saft	Substantiv		Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Saft	Saft	Saft; Fruchtsaft; Obstsaft	Saft; Fruchtsaft; Obstsaft; O-Saft; Gemüsesaft
ES00572	Katzenseckel	Katzenseckel	Substantiv	1.	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Kurzer
ES01193	Suser	Suser	Substantiv		gährender Most	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Most	Most; Rebensaft; Traubenmost	Most; Rebensaft; Traubenmost; Traubensaft; Wein
ES02036	Schoppen	Schoppen	Substantiv	2.	bes. ein Schoppen Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Biermischgetränk	Bier; Kellerbier; Biermischgetränk; Bockbier; Leichtbier
ES02507	Kaffeeschlabber	Kaffeeschlabber	Substantiv		schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe	Brühe; Gesöff; Lorke	Brühe; Gesöff; Lorke; Plampel
ES02514	Schlabberte, Schlabbete	Schlabberte, Schlabbete	Substantiv	2.	überh. schlechtes Getränke, kraftlose Brühe	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trinkbares; das Trinken	Trinkbares; das Trinken; Gesöff; Trunk; Trank; Drink	Trinkbares; das Trinken; Gesöff; Drink; Trinken; Trunk; Trank; Getränk
ES03500	Schnaps, Schnips	Schnaps, Schnips	Substantiv	1.	Schnaps, Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Kurzer
ES03505	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Substantiv		Branntwein aus Zwetschen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Pflaumenbranntwein; Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser	Zwetschgenschnaps; Pflaumenbranntwein	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser; Pflaumenbranntwein	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser; Aprikosenbrand; Aprikosenschnaps; Pflaumenbranntwein
ES04513	Sprit	Sprit	Substantiv	2.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Feuerwasser; Schnaps	Fusel; Branntewein; Feuerwasser; Branntwein; Schnaps; Kurzer
ES04532	Spritzer, Spretzer	Spritzer, Spretzer	Substantiv	5.	kleine Menge Branntwein, die man in den schwarzen Kaffee giesst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntewein	Branntewein; Branntwein; Schnaps; Kurzer	Branntewein; Branntwein; Schnaps; Fusel; Weinbrand; Kurzer
ES05370	Stöpferle	Stöpferle	Substantiv	1.	petschierter Flaschenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Tafelwein	Tafelwein; Wein; Rebensaft	Tafelwein; Wein; Rebensaft; Gänsewein; Portwein
ET00024	Tee	Tee	Substantiv	2.	Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Jägertee	Jägertee; Aufgussgetränk; Förstertee	Jägertee; Aufgussgetränk; Förstertee; Hüttentee; Tee
ET00025	Brusttee	Brusttee	Substantiv	1.	Brusttee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Hüttentee	Hüttentee; Jägertee; Förstertee	Hüttentee; Jägertee; Förstertee; Tee; Hopfentee
ET01557	Düttle, Düttel	Düttle, Düttel	Substantiv	4.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Magermilch; Trinkmilch	Milch; Magermilch; Trinkmilch; Schickermilch; Dosenmilch
ET01713	Traberen, Träberen	Traberen, Träberen	Substantiv	2.	Treberbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Grappa; Tresterbrand; Tresterschnaps	Wermutbranntwein	Wermutbranntwein; Zuckerrohrschnaps; Kornbranntwein	Wermutbranntwein; Zuckerrohrschnaps; Kornbranntwein; Kornbrand; Weinbrand
ET01926	Teüfelsdrëck 	Teüfelsdrëck	Substantiv	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
ET02147	Trank	Trank	Substantiv		Trank	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trank	Trank; Trunk; Getränk	Trank; Trunk; Getränk; das Trinken; Drink
ET02152	Säütränke	Säütränke	Substantiv	2.	schlechtes Getränk, z. B. schlechter Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk; Trank; Trinkbares; das Trinken; Trunk; Wein	das Trinken; Trank	das Trinken; Trank; Trinkbares; Drink; Getränk; Trunk	das Trinken; Trank; Trinkbares; Trunk; Getränk; Drink; Wein
ET02160	Trinken	Trinken	Substantiv		Getränk	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Getränk	Getränk; Drink; Trunk	Getränk; Drink; Trunk; Trank; das Trinken
ET02165	Trunk	Trunk	Substantiv		Trunk	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Trank; Getränk	Trunk; Trank; Getränk; Drink; das Trinken
ET02166	Schlaftrunk	Schlaftrunk	Substantiv		urspr. Trunk, der dem Gaste dargereicht wurde, wenn er sich schon zu Bett begeben hatte; später Trinkgelage, das sich an die Abendmahlzeit anschloss.	Getränk; Trinken	Getränk; Trank; Trinkbares; das Trinken; Trinken; Trunk	das Trinken	das Trinken; Trunk; Trank; Trinkmilch	das Trinken; Trunk; Trank; Trinkbares; Drink; Trinkmilch; Milkshake
