ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_Modell
EZ00219	Zucker II	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
EZ00453	zäpfen	(ein Fass) anstechen; vom Fass trinken; trinken überhaupt	Trinken; Trinken.Alkohol_trinken	Trinken	Trinken
LA00253	Änes	Anisbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LA00351	Appelvitz	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LA00352	Äbbel-win	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LB00004	Babbel-wasser	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LB00183	Bäre-dreck	Süßholzsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Trinken	Trinken
LB00331	Paure-wein	ungekelteter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LB00479	Pek I	saurer Wein, aus Trestern hergestellt, indem man Wasser zusetzt u. das Gemisch einige Tage in einem Fasse stehen läßt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Other	other
LB00755	Bier II	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Trinken	Trinken
LB01103	Blotz-milch	Buttermilch, die durch Butter blotze entsteht	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LB01322	Brach	dicke Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Trinken	Trinken
LB01350	Brannte-win	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LB01497	Brockel	geronnene Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LD00368	Dick-milch	sauer Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LD00695	Drank	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LD00818	Trep(s)	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LD00927	Dronk	Trunk	Getränk	Trinken	Trinken
LD00927	Dronk	Trank, heilkräftiges Getränk	Getränk	Trinken	Trinken
LD00971	Druff	trüber Wein als Faßrest	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LD01008	Drusenbrantwin	fast allg. Branntwein aus Weinhefe gewonnen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LD01116	Tur II	Runde	Getränk	Other	other
LD01139	Turne	Runde, für jeden am Tisch ein Glas	Getränk	[ungültig]	other.
LD01151	Durscht	Durst	Durst	Trinken	Trinken
LE00056	Eichelkaffee	Eichelkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	Trinken	Trinken
LF00916	Vir-schotz	der erste Branntwein, der beim Brennen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Other	other
LF00954	Vitz	Obstwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LF01130	Föll-wein	Füllwein, Wein zum Nach- und Auffüllen im Fasse	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LF01160	Vor-laf	Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Other	other
LF01369	Fusel	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LG00052	Galm	Durst, Qualm, Gestank	Durst	Trinken	Trinken
LG00244	Ge-drenks	Getränke	Getränk	Trinken	Trinken
LG00244	Ge-drenks	das Trinken	Trinken	Trinken	Trinken
LG00339	Geischt	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LG00583	Ge-scheppels	übermäßiges od. gewohnheitsmäßiges Trinken von Schoppen Bier od. Wein	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken, Trinken.Häufig_lange_trinken	Trinken	Trinken
LG00627	Ge-seffs	Gesöffe, Säuferei, unmäßiges Trinken	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken	Trinken	Trinken
LG00688	Ge-supps	Saugen, Geschlürf, schlürfendes Geräusch beim Trinken	Trinken.Geräuschvoll_trinken	Trinken	Trinken
LG00782	Giges I	schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LG00899	Glugluk	Gluckgluck (Geräusch beim Trinken od. Ausgießen einer Flüssigkeit)	Trinken.Geräuschvoll_trinken	Trinken	Trinken
LG00947	Gom	ein süßliches Getränk	Getränk	Trinken	Trinken
LG00987	Grächen	neuer Wein; Wein, der gerade trinkbar geworden. G. genannt wegen seiner grauen Farbe	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LG01050	Gräwel-wasser	schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LG01193	Grumberebrantwein	Kartoffelsprit	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LH00199	Häns-chen	ein Achtel Liter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LH00357	Heffen	ein Gläschen Hefenbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LK00024	Kaffee	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Trinken	Trinken
LK00028	Kaffeebrih	schlechter Milchkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Trinken	Trinken
LK00259	Kassis	Likör, der aus der Frucht derselben zubereitet wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LK00343	Keizen	schlechter Wein, Krätzer	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LK00372	Kelterwein	Wein von gekelterten Trauben im Gegensatz zu	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LK00547	Kirsch	Kirschenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LK01060	Kowen-bretchen	Gläschen Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LK01499	Kwetsch I	Zwetschenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LK01505	Kwetschwasser	Zwetschenbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LL00401	Lier	Holzapfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LL00565	lumpen	zechen, schlemmen	Trinken.Alkohol_trinken	Other	other
LM00027	Mawebitter	Magenbitter	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Other	other
LM00226	Matten	geronnene Milch, aus der Käse gemacht wird; Käsmatte	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LM00280	Mehlsuffe	Trank mit beigemischtem M. für die Haustiere	Getränk	Trinken	Trinken
LM00317	Melkersch	soviel Milch, als in einem Mal gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LM00416	Milch	Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Trinken	Trinken
LM00470	Mirabell	Mirabellenbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LM00620	Moschketeller	Muskatellertraube, –wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Trinken	Trinken
LM00677	Mupp	schlechter, minderwertiger Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LM00713	Musikante-brih	(eigentl. Musikantenbrühe) verächtl. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Trinken	Trinken
LN00228	Ninni	Milch in der Kindersprache	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LO00248	Owes-dronk	Abendtrunk	Getränk	Trinken	Trinken
LO00251	Owesstrach	die am Abend gemolkene Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Other	other
LR00162	Rattegift	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Trinken	Trinken
LR00330	Rend I	Runde	Getränk	Other	other
LR00660	Runding	Runde	Getränk	Other	other
