xml:id	Lemma	Wortart	Level	Definition	Konzept	Konzept_gemappt	Distanz_minimal	Distanz_Durchschnitt	Kante_min
PA03060	Auffüll-wein	Substantiv	-	Wein zum Auffüllen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PA03164	auf-laden	Verb	1b	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PA03607	aus-bürsten	Verb	2	austrinken, leer trinken	Trinken.Austrinken	Trinken.Austrinken	0	0.0	austrinken → austrinken
PA03624	aus-dudeln	Verb	-	saugend austrinken	Trinken.Austrinken	Trinken.Austrinken	0	0.0	austrinken → austrinken
PA03730	aus-gluckern	Verb	-	austrinken	Trinken.Austrinken	Trinken.Austrinken	0	0.0	austrinken → austrinken
PA03809	aus-läppern	Verb	-	in kleinen Schlucken austrinken	Trinken.Austrinken;Trinken.Langsam_kleine_Mengen_trinken	Trinken.Austrinken	0	1.0	austrinken → austrinken
PA03882	aus-pitschen	Verb	-	austrinken	Trinken.Alkohol_trinken;Trinken.Austrinken	Trinken.Austrinken	0	1.0	austrinken → austrinken
PA03957	aus-saufen	Verb	1	leer saufen	Trinken.Austrinken	Trinken.Alkohol_trinken	2	2.0	austrinken → Alkohol trinken
PA04011	aus-schöppeln	Verb	-	zu Ende schöppeln, trinken	Trinken.Alkohol_trinken;Trinken.Austrinken	Trinken	1	1.0	Alkohol trinken → trinken
PA04077	aus-stauben	Verb	3	austrinken	Trinken.Austrinken	Trinken.Austrinken	0	0.0	austrinken → austrinken
PA04088	Aus-stich	Substantiv	2	Beerenauslese, edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PA04089	Ausstich-wein	Substantiv	-	edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PA04127	aus-trinken	Verb	-	durch Trinken leer machen	Trinken.Austrinken	Trinken.Austrinken	0	0.0	austrinken → austrinken
PB00145	Päckel-brühe	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB00373	Bajaß-seiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB00514	bambuschieren	Verb	-	zechen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB00523	Bampel-brühe	Substantiv	-	minderwertiger Wein, dünner Kaffee	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein;Getränk.Heißgetränk.Alkoholfreies_Heißgetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	3.0	Wein → Wein
PB00549	Bamsche	Substantiv	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB00550	bamscheln	Verb	-	trinken	Trinken	Trinken	0	0.0	trinken → trinken
PB00551	bamschen	Verb	-	viel trinken, saufen	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken	Trinken; Trinken.Alkohol_trinken	0	1.0	Alkohol trinken → Alkohol trinken
PB00617	Bankerotts-brühe, Bankerott-brühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB00669	panschen	Verb	3	zechen, saufen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB00757	Pappel-wasser	Substantiv	2	geringwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB01168	Batzen-wein	Substantiv	-	minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB01184	Bauch-bläser	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB01216	Bauchweh-wasser	Substantiv	-	Zwetschgenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0	0.0	Spirituose → Spirituose
PB01220	Baudel-brühe	Substantiv	-	Malzkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	0	0.0	Ersatzkaffee → Ersatzkaffee
PB01317	Bauern-wein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB01491	bechern	Verb	-	viel trinken, zechen	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken	Trinken; Trinken.Alkohol_trinken	0	1.0	Alkohol trinken → Alkohol trinken
PB01499	Pech-milch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PB01537	be-diaduseln	Verb	-	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB01548	be-dudeln	Verb	2	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB01633	be-hauen	Verb	2a	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB01838	be-ledern	Verb	-	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB01910	bemschen	Verb	3	tüchtig trinken	Trinken.Schnell_große_Mengen_trinken	Trinken	1	1.0	schnell, große Mengen trinken → trinken
PB01928	be-nebeln	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02056	perlen	Verb	'1.1.	trinken	Trinken	Trinken	0	0.0	trinken → trinken
PB02066	Perl-kaffee	Substantiv	-	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0	0.0	Spirituose → Spirituose
PB02122	be-rußen	Verb	2	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02130	be-sabeln	Verb	1	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02133	be-saufen	Verb	-	besaufen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02138	be-schaskeln, -schassen	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02160	be-schlagen	Verb	2	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02172	be-schnussen	Verb	-	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02193	be-seibeln	Verb	2	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02354	be-trudeln	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02495	be-tutern	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02576	be-zechen	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PB02644	Pfand-wein	Substantiv		verpfändeter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB02736	Pfeffer-minze, -minz	Substantiv	2	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	kein_Trinken	9	9.0	
PB02740	Pfefferminz-tee	Substantiv	-	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	kein_Trinken	9	9.0	
PB02741	Pfefferminz-wasser	Substantiv	-	Getränk aus Pfefferminzessenz und Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	Getränk	3	3.0	Softdrink → Getränk
PB02869	Pferds-milch	Substantiv	-	Stutenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	kein_Trinken	9	9.0	
PB02917	pfetzen	Verb	6	trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB02931	pfiffeln	Verb	2	ein kleines Glas Wein trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB02932	pfiffen	Verb	-	ein kleines Glas Wein trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB03008	Pflaster	Substantiv	4b	Erdbeerwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB03368	Bier	Substantiv	-	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0	0.0	Bier → Bier
PB03415	Bier-schlorum	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0	0.0	Bier → Bier
PB03442	Biest-milch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PB03609	Pink-pille	Substantiv	1	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB03661	Bippel-henker	Substantiv	-	derbe Bez. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	kein_Trinken	9	9.0	
PB03661	Bippel-henker	Substantiv	E2	Tresterwein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB03715	Birnen-bumpes	Substantiv	-	Wein, den man aus Birnenselbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB03729	Birnen-most	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	kein_Trinken	9	9.0	
PB03731	Birnen-puff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB03733	Birnen-saft	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	kein_Trinken	9	9.0	
PB03735	Birnen-schnackel	Substantiv	-	verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB03741	Birnen-wein	Substantiv	-	Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB03816	pitschen	Verb	1	trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB03844	Bitter-wasser	Substantiv	-	ein sehr bitter schmeckendes Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	0	0.0	Wasser → Wasser
PB03868	Bitzler	Substantiv	1	junger, noch gärender Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB03946	Plämpel	Substantiv	2	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB03947	Plämpel-brühe	Substantiv	-	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB03948	plämpern	Verb	-	oft trinken	Trinken.Häufig_lange_trinken	Trinken	0	0.0	trinken → trinken
PB04011	blasen	Verb	3	einen trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB04154	blau	Substantiv	4a'b	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0	0.0	Spirituose → Spirituose
PB04279	Bleff	Substantiv	-	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB04398	blitzen	Verb	x'1.2d	trinken	Trinken	Trinken	0	0.0	trinken → trinken
PB04481	Blume	Substantiv	2g	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB04647	Blut-wein	Substantiv	-	Rotwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB04693	Bock-bier	Substantiv	-	Starkbier mit hohem Stammwürzegehalt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0	0.0	Bier → Bier
PB04748	Böckser	Substantiv	1a	von verdorbenem Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB04748	Böckser	Substantiv	1b	Most, der in der Gärung das Süße verloren hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	4	4.0	Wein → Saft
PB04748	Böckser	Substantiv	1c	Wein mit Bodengeschmack	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB04755	Böcksler	Substantiv	2	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB04755	Böcksler	Substantiv	1	Wein mit Bodengeschmack	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB04761	Bocks-seiche	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0	0.0	Bier → Bier
PB04859	Bohnen-kaffee	Substantiv	-	Bohnenkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	kein_Trinken	9	9.0	
PB04922	Polack	Substantiv	5	Rest eines Getränkes im Glas	Getränk	kein_Trinken	9	9.0	
PB05580	Brand	Substantiv	6e	brennender Durst	Durst	Durst	0	0.0	Durst → Durst
PB05629	Brannte-wein, Brannt-wein	Substantiv	-	Branntewein, Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0	0.0	Spirituose → Spirituose
PB05642	Branntwein-schnäpsel	Substantiv	-	ein Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	kein_Trinken	9	9.0	
PB05678	Brast	Substantiv	1.4	Durst	Durst	Durst	0	0.0	Durst → Durst
PB05724	Bratz	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB05741	Brauhaus-bier	Substantiv	-	Biersorte aus Frankth	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	kein_Trinken	9	9.0	
PB06029	Preß-most	Substantiv	-	durch Pressen gewonnener Obstsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	kein_Trinken	9	9.0	
PB06123	Briester	Substantiv	-	erste Milch nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PB06125	Briester-milch	Substantiv	-	erste Milch nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PB06313	Brombeerenlaub-tee	Substantiv	-	Brombeerenblättertee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	kein_Trinken	9	9.0	
PB06369	prosten	Verb	1	trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB06370	prostern	Verb	-	trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PB06562	Brühe	Substantiv	3b	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB06562	Brühe	Substantiv	2	Beeren-, Gemüsesaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	0	3.0	Saft → Saft
PB06562	Brühe	Substantiv	3a	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	3.0	Wein → Wein
PB06629	Brummelsbeerblätter-tee	Substantiv	-	Brombeerblättertee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	kein_Trinken	9	9.0	
PB06831	Bruttel	Substantiv	1c	trübe Brühe	Getränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	3	3.0	Getränk → Kaffee
PB06831	Bruttel	Substantiv	1d	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB06832	Bruttel-brühe	Substantiv	-	schlechtes Kaffeegetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	kein_Trinken	9	9.0	
PB06974	Büchsen-milch	Substantiv	-	Büchsenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PB07038	Buckskin	Substantiv	2	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0	0.0	Wein → Wein
PB07052	Pudel	Substantiv	2.3	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	0	0.0	Kaffee → Kaffee
PB07085	Puff	Substantiv	1.2	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PB07095	büffeln	Verb	2	trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
