xml:id	Lemma	Wortart	Level	Definition	Konzept	Stringabgleich	ModernGBERT	Llama3.3:70b
EG00225	Rattengift	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EG00272	Giger	Substantiv	4.	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	1/1
EG00282	Giges, Gigs	Substantiv		schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	2/2	2/2	2/2
EG00283	Burlegiges	Substantiv	1.	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	0/1
EG00746	gunklen	Verb	2.	Wein über die Strasse verkaufen	kein_Trinken	1/1	1/1	1/1
EG00786	ganz	Adjektiv		ganz	kein_Trinken	1/1	1/1	1/1
EG00861	Sufgurgel	Substantiv	1.	Säufer	kein_Trinken	1/1	1/1	1/1
EG00861	Sufgurgel	Substantiv	2.	hervorstehender Kehlkopf, was vom Trinken kommen soll	kein_Trinken	1/1	1/1	1/1
EG00945	Gas	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
EG01048	Geist	Substantiv	2.	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	0/1
EG01080	Gater	Substantiv		das erste Lederstück, wenn man den Absatz aufsetzt	kein_Trinken	1/1	1/1	1/1
EG01127	Herrgöttel	Substantiv	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/2	2/2	2/2
EG01144	Gutter(e)	Substantiv	1.	Flasche, meist mit grossem Bauch, engem Halse und Giessschnabel, oft mit Stroh umflochten, Korbflasche; aus Glas oder Steingut; dient zum Aufbewahren von Kirsch- oder Pflaumenwasser, Schnaps, Wein, Essig, Petroleum; seltener auch eine kleine Flasche	kein_Trinken	0/1	1/1	1/1
EG01144	Gutter(e)	Substantiv	2.	trunksüchtiges, altes Weib	kein_Trinken	1/1	1/1	1/1
EG01147	gutteren	Verb	1.	aus einem Fläschchen trinken	Trinken	1/1	1/1	1/1
EG01147	gutteren	Verb	2.	gluckern, wie Wasser, das aus einer Flasche geschüttet wird	kein_Trinken	0/1	1/1	1/1
EG01220	Gix I	Substantiv		Schrei, Laut, Wörtchen; fast nur in der Rda	kein_Trinken	1/1	1/1	1/1
EG01325	gluckeren	Verb		schlürfen, trinken	Trinken.Geräuschvoll_trinken	1/1	1/1	1/1
EG01330	glucklen	Verb	2.	trinken	Trinken	1/1	1/1	1/1
EG01382	Glas	Substantiv	2.	Trinkglas	kein_Trinken	1/1	1/1	1/1
EG01382	Glas	Substantiv	3.	Flasche	kein_Trinken	1/1	1/1	1/1
EG01526	grüblen	Verb		grübeln, scharren, mit den Fingern herausbohren	kein_Trinken	1/1	1/1	1/1
EG01697	grinen	Verb	3.	Saft ausfliessen lassen von geschnittenen Reben	kein_Trinken	1/1	0/1	1/1
EG01772	grüenzen	Verb		die ausgedroschenen Körner der Cerealien in der Wanne unter drehender Bewegung so schütteln, dass die nackten Körner am Rande, die mit Blatthäutchen (Hos) in der Mitte sich sammeln, worauf sie leicht zu scheiden sind	kein_Trinken	1/1	1/1	1/1
EG01936	grätzen	Verb		mit gespreizten Beinen ausschreiten	kein_Trinken	1/1	1/1	1/1
EH00171	Huch	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
EH00171	Huch	Substantiv	3.	Spottname für Personen beiderlei Geschlechts, die viel geistige Getränke zu sich nehmen	kein_Trinken	1/1	1/1	1/1
EH00174	huchen	Substantiv	2.	trinken, bes. übermässig	Trinken.Schnell_große_Mengen_trinken	0/1	1/1	1/1
EH00214	Hudel	Substantiv	3.	liederliche, bes. in der Kleidung nachlässige Person; Lump, Säufer, wilder, ungestümer Mensch, schlechter Arbeiter, der alles nur obenhin macht	kein_Trinken	1/1	1/1	1/1
EH00479	Wirtshushocker	Substantiv		Stammgast, der immer in der Wirtschaft zu finden	kein_Trinken	1/1	1/1	1/1
EH00494	häl	Adjektiv		dürr	kein_Trinken	1/1	0/1	0/1
EH00536	hohl	Adjektiv		hohl, leer	kein_Trinken	1/1	1/1	1/1
EH00542	Holefërnes 	Substantiv		stolzer Mensch; grosser und magerer Mann	kein_Trinken	1/1	1/1	1/1
EH00546	Holleratti	Substantiv		Unkraut, in Trieben u. Blättern ähnlich wie Hollunder, aber ohne Holz, als Mittel gegen Hühnerläuse gebraucht, indem man einen Busch in den Hühnerstall hängt	kein_Trinken	1/1	1/1	1/1
EH00642	Windhals	Substantiv	2.	langhalsige Flasche mit einem Rauminhalt von etwa	kein_Trinken	1/1	1/1	1/1
EH00857	Hahn(e)	Substantiv	3.	Wirtshaus zum Hahn	kein_Trinken	1/1	1/1	1/1
EH00857	Hahn(e)	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
EH01024	Hanf(t)	Substantiv		Hanf	kein_Trinken	1/1	1/1	1/1
EH01203	hüpperen	Verb	4.	trinken	Trinken	1/1	1/1	1/1
EH01228	hops	Adjektiv	3.	ist angetrunken	kein_Trinken	0/1	1/1	1/1
EH01237	Hüps	Substantiv		Rausch	kein_Trinken	1/1	1/1	1/1
EH01413	Schrëpfhörnle, Schrëpfhörnel	Substantiv	2.	kleines Bierglas	kein_Trinken	1/1	1/1	1/1
EH01490	Hirz	Substantiv	4.	Rausch	kein_Trinken	1/1	1/1	1/1
EH01490	Hirz	Substantiv	5.	Wirtshausschild	kein_Trinken	1/1	1/1	1/1
EH01600	Wirtshus	Substantiv		Wirtschaft, Gastwirtschaft	kein_Trinken	1/1	1/1	1/1
EH01621	Hussel	Substantiv		Rotschwänzchen	kein_Trinken	1/1	1/1	1/1
EH01626	haschen	Verb		haschen. Kinderspiel, wobei ein Ausruheort, der Barren, bestimmt wird. Sind alle dort angelangt, so ruft das haschende Kind: Drei langi, langi Stangen! Wer nit glich vom Barren enwëg geht, der muess fangen	kein_Trinken	1/1	1/1	1/1
EH01674	Hutt(e)	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
EH01683	Hut	Substantiv	3.	Haut auf der Milch	kein_Trinken	1/1	1/1	1/1
EH01814	Hëx 	Substantiv	1.	Hexe	kein_Trinken	1/1	1/1	1/1
EJ00209	jästig, jastig	Adjektiv	1.	in Gärung begriffen, brausend (Wein)	kein_Trinken	0/1	1/1	1/1
EK00019	Keib	Substantiv	4.	Rausch	kein_Trinken	1/1	1/1	1/1
EK00064	Schöpfkübel	Substantiv	1.	kleiner hölzerner Kübel zum Schöpfen von Wasser oder Wein	kein_Trinken	1/1	1/1	1/1
EK00069	Kachel(e)	Substantiv	2.	irdenes Gefäss, Topf, mit rundem Boden und senkrechten Wänden, bes. zum Aufbewahren von Milch; Schüssel, grosse Kaffeetasse; Nachtgeschirr; Isolator der Telegraphenstange	kein_Trinken	1/1	1/1	1/1
EK00180	kudern	Verb		kauern, hocken	kein_Trinken	1/1	1/1	1/1
EK00182	Kaffee, Kaffi	Substantiv	1.	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	1/1	1/1
EK00182	Kaffee, Kaffi	Substantiv	2.	Kaffeehaus	kein_Trinken	0/1	1/1	1/1
EK00183	Schokelakaffee	Substantiv		Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	0/1	0/1	0/1
EK00185	Kaffinell	Substantiv	2.	Kaffeeschwester	kein_Trinken	1/1	1/1	0/1
EK00193	Käfer	Substantiv	2.	leichter Rausch	kein_Trinken	1/1	1/1	1/1
EK00230	keief	Adjektiv		an einem Unfug, einer Gaunerei beteiligt; schuldig	kein_Trinken	1/1	1/1	1/1
EK00280	Kalen	Substantiv		Klöpfel der Glocke	kein_Trinken	1/1	1/1	1/1
EK00380	verkalchen	Verb	2.	(den Kaffee) überzuckern	kein_Trinken	1/1	1/1	1/1
EK00427	Kam(e)rad	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
EK00540	Kumper	Substantiv		Gevattersmann, auch Anrede bei Begegnung	kein_Trinken	1/1	1/1	1/1
EK00555	Kann	Substantiv	1.	Kännchen, auch für Milch, Petrol u. s. w., bes. aber für Bier; ein Zehntel Liter enthaltend. In früherer Zeit wurde das Bier in Krügen aus Steingut, mit dem Zeichen	kein_Trinken	0/1	1/1	1/1
EK00563	Kanali, Kanari	Substantiv		Kanarienvogel	kein_Trinken	1/1	1/1	1/1
EK00577	Kanon(e)	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
EK00720	Kapp(e)	Substantiv	1.	Mütze	kein_Trinken	1/1	1/1	1/1
EK00942	Inkehr	Substantiv		Einkehr	kein_Trinken	1/1	1/1	1/1
EK00947	i(n) kehren	Verb	1.	einkehren	kein_Trinken	1/1	1/1	1/1
EK00974	korrigieren	Verb	1.	verbessern	kein_Trinken	1/1	1/1	1/1
EK01109	Kirs(e), Kirsch	Substantiv	2.	Kirschbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EK01162	Kassematte	Substantiv		bombenfestes Gewölbe; Gefängnis	kein_Trinken	1/1	1/1	1/1
EK01253	Kasten	Substantiv	11.	Rausch	kein_Trinken	1/1	1/1	1/1
EK01274	Kest(ene)	Substantiv		Kastanie	kein_Trinken	1/1	1/1	1/1
EK01280	Kist(e)	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
EK01306	Kathederle	Substantiv		Gefängnis, Zuchthaus	kein_Trinken	1/1	1/1	1/1
EK01311	katholisch	Adjektiv		katholisch	kein_Trinken	1/1	1/1	1/1
EK01313	Käter	Substantiv		Weinrausch	kein_Trinken	1/1	1/1	1/1
EK01340	Kittel	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
EK01340	Kittel	Substantiv	1.	Kittel, Rock	kein_Trinken	1/1	1/1	1/1
EK01385	Kuttel	Substantiv	4.	dicke Person, Fresser, Säufer	kein_Trinken	1/1	1/1	1/1
EK01393	Kutter	Substantiv		Bettdecke, wollene Decke	kein_Trinken	1/1	1/1	1/1
EK01404	këtsch, këtschete 	Adjektiv		weich, zu weich gekocht (z. B. das Fleisch der Spanferkel oder der jungen Kälber)	kein_Trinken	1/1	1/1	1/1
EK01466	Kuz, Kutz, Kauz	Substantiv	1.	kleine Eule	kein_Trinken	1/1	1/1	1/1
EK01483	Klee	Substantiv		Klee	kein_Trinken	1/1	1/1	1/1
EK01516	kluben	Verb		klauben, mit den Fingerspitzen an etwas herumzerren und zupfen, an einem Knopf oder Knochen, am Brode; in der Nase bohren	kein_Trinken	1/1	1/1	1/1
EK01540	klaffen III	Verb		nicht fest anpassen, abstehn	kein_Trinken	1/1	1/1	1/1
EK01560	Klack	Substantiv		Riss an der Hand und bes. an den Lippen in Folge der Kälte	kein_Trinken	1/1	1/1	1/1
EK01581	klëmmen 	Verb	3.	trinken	Trinken	1/1	1/1	1/1
EK01598	klei(n), kli(n)	Adjektiv		klein	kein_Trinken	1/1	1/1	1/1
EK01653	klepfen	Verb	4.	wegschnappen, verzehren (Obst; eine Flasche Wein)	Trinken.Alkohol_trinken	0/1	0/1	0/1
EK01662	klopfen	Verb	1.	schlagen, hämmern; mit dem Glase auf den Tisch klopfen, wenn man im Wirtshaus noch etwas wünscht; trinken	Trinken	1/1	0/1	0/1
EK01714	klutteren	Verb	1.	plätschern, in Flüssigkeiten Blasen und gurgelnde Töne hervorbringen, z. B. beim Sieden, beim Sprudeln einer Quelle, beim Einschenken aus einer Flasche, beim Waschen, bes. beim Spielen im Wasser	kein_Trinken	0/1	1/1	1/1
EK01744	Kläw(n)er, Kläfler	Substantiv	2.	Wein daraus	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EK01770	Knebel	Substantiv	1.	kurzer Stock, Knüppel; dient bes. zum Zusammenbinden des Strohbundes	kein_Trinken	1/1	1/1	1/1
EK01811	Knoden	Substantiv	1.	Fussknöchel	kein_Trinken	1/1	1/1	1/1
EK01830	knächzig	Adjektiv		kreischend	kein_Trinken	1/1	1/1	1/1
EK01976	knautschen, knotschen	Verb	4.	Wein mit Wasser vermengen	kein_Trinken	1/1	0/1	1/1
EK02026	Kräbel	Substantiv		Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EK02032	Krëbser 	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EK02087	Krueg	Substantiv	2.	Trunkenbold, Säufer	kein_Trinken	1/1	1/1	1/1
EK02120	Krall(e)	Substantiv	2.	Luftbläschen auf Wein od. Branntwein	kein_Trinken	1/1	0/1	1/1
EK02177	Krampf	Substantiv		Krampf; abnorme Empfindung, unerklärbarer Schmerz, bes. bei den Frauen	kein_Trinken	1/1	1/1	1/1
EK02255	kropsen	Verb		unpers. ärgern	kein_Trinken	1/1	1/1	1/1
EK02258	krärzen	Verb	2.	prickeln (vom gährenden neuen Wein)	kein_Trinken	1/1	1/1	1/1
EK02340	Krett	Substantiv		Knochengerüst eines Geflügels, Korb	kein_Trinken	1/1	1/1	1/1
EK02345	kritizieren	Verb		(unbefugt) beurteilen, bekritteln	kein_Trinken	1/1	1/1	1/1
EK02545	krixen	Verb		knirschen mit den Zähnen oder vom Schnee; knarren (Thüre, Stuhl)	kein_Trinken	1/1	1/1	1/1
EK02568	Kräz(en)	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
EK02580	Kritzer	Substantiv	4.	kleiner Rausch	kein_Trinken	1/1	1/1	1/1
EK02588	Krozer	Substantiv		eingeritztes Zeichen	kein_Trinken	1/1	1/1	1/1
EL00106	Liber	Substantiv		Frank, Frankstück	kein_Trinken	1/1	1/1	1/1
EL00173	verlëchen 	Verb	2.	austrocknen, verschmachten vor Durst	Durst	0/1	1/1	1/1
EL00189	Liche	Substantiv	1.	der Tote	kein_Trinken	1/1	1/1	1/1
EL00342	Lader	Substantiv	2.	Dampf, Rausch	kein_Trinken	1/1	1/1	1/1
EL00344	Lading	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
EL00463	Vorlauf	Substantiv	2.	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	0/1
EL00532	Durchluft	Substantiv	1.	Wirtshaus	kein_Trinken	1/1	1/1	1/1
EL00559	Winlogel	Substantiv	2.	Trunkenbold, Schimpfn. für einen Bewohner der oberels. Weingegend	kein_Trinken	1/1	1/1	1/1
EL00683	lack	Adjektiv	2.	wässerig, von Getränken, Früchten	kein_Trinken	0/1	1/1	0/1
EL00740	lällen	Verb	1.	lechzen vor Hitze und Durst, von Hunden, Rindern, Federvieh, zuweilen übtr. auch vom Menschen gesagt: vor Durst die Zunge heraushängen lassen	Durst	1/1	1/1	1/1
EL00824	Lump	Substantiv		Lump, Verschwender, Trunkenbold, schlechter Mensch	kein_Trinken	1/1	1/1	1/1
EL00827	lumpen	Verb		nichts arbeiten und statt dessen im Wirtshaus liegen und trinken	kein_Trinken	1/1	0/1	1/1
EL00951	Lind(en)	Substantiv	2.	Wirtshausschild	kein_Trinken	1/1	1/1	1/1
EL01034	Füchtlappen	Substantiv		Trinker	kein_Trinken	1/1	1/1	1/1
EL01062	läppelen	Verb	2.	saufen (vom Hund)	Trinken	0/1	1/1	0/1
EL01062	läppelen	Verb	1.	trinken mit dem Nebengedanken des Behaglichen, Langsamen	Trinken.Langsam_kleine_Mengen_trinken	0/1	1/1	1/1
EL01063	läpperen	Verb	1.	schlürfen, schlappern (von Hunden); langsam und behaglich, langsam trinken	Trinken.Geräuschvoll_trinken; Trinken.Langsam_kleine_Mengen_trinken 	1/2	2/2	2/2
EL01080	lipplen	Verb	2.	saufen (von der Katze)	Trinken	0/1	1/1	0/1
EL01179	Lur(e), Lür	Substantiv	4.	schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	0/1	1/1
EL01179	Lur(e), Lür	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EL01179	Lur(e), Lür	Substantiv	1.	leichter Wein, hergestellt durch Vermischen mit Wasser	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EL01179	Lur(e), Lür	Substantiv	2.	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	0/1
EL01180	Lappenlur(e), Lappenlür	Substantiv	1.	schwacher, saurer, matter, verwässerter Wein oder Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	1/2	0/2	2/2
EL01180	Lappenlur(e), Lappenlür	Substantiv	3.	Kaffeeschwester	kein_Trinken	1/1	1/1	0/1
EL01229	usen	Verb	1.	ablassen (Wein)	kein_Trinken	1/1	1/1	1/1
EL01276	Lisabeth, Lisbeth	Substantiv		weibl. Vorname Elisabeth; Koseform	kein_Trinken	1/1	1/1	1/1
EL01351	Lues, Los, Lus, Luenz	Substantiv		Scharre, vom Bäcker zum Sammeln der Asche od. Kohlen, vom Strassenwart zum Beseitigen des Strassenkotes gebraucht	kein_Trinken	1/1	1/1	1/1
EL01356	Lastik	Substantiv	1.	Gummi elasticum als Einsatz in Zugstiefeln	kein_Trinken	1/1	1/1	1/1
EL01367	leschen	Verb	1.	löschen (Feuer, Durst, Staub)	Trinken	0/1	1/1	0/1
EL01388	Last	Substantiv	1.	Last	kein_Trinken	1/1	1/1	1/1
EL01400	Laster	Substantiv		Laster	kein_Trinken	1/1	1/1	1/1
EL01546	Lüterung	Substantiv	1.	Vorbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	0/1
EL01574	Wirtslüt	Substantiv		Wirt und Wirtin	kein_Trinken	1/1	1/1	1/1
EL01708	Luzias	Substantiv		Eigenname = Lucifer, Teufel	kein_Trinken	1/1	1/1	1/1
EM00128	Maicher, Maicherle 	Substantiv		saurer Apfel	kein_Trinken	1/1	1/1	0/1
EM00231	müed	Adjektiv		müde	kein_Trinken	1/1	1/1	1/1
EM00267	Magick	Substantiv		schielende Person, spottend od. scheltend	kein_Trinken	1/1	1/1	1/1
EM00301	Majosch	Substantiv		Werkzeug des Schusters zum Glätten der Sohlen, frz. mailloche	kein_Trinken	1/1	1/1	1/1
EM00566	Milch	Substantiv		Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
EM00567	Brieschmilch	Substantiv		die erste Milch der Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
EM00571	Geisenmilch	Substantiv	1.	Ziegenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
EM00577	Surmilch	Substantiv		Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
EM00588	mëlden 	Verb		refl. vorsprechen, um etwas zu bekommen	kein_Trinken	1/1	1/1	1/1
EM00624	Molzer	Substantiv	3.	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0/1	1/1	1/1
EM00633	mëmm(e)len	Verb	1.	in der Kindersprache trinken	Trinken	1/1	1/1	1/1
EM00633	mëmm(e)len	Verb	2.	behaglich und in kleinen Zügen wiederholt trinken, von älteren Leuten und von Gewohnheitstrinkern	Trinken.Langsam_kleine_Mengen_trinken	0/1	0/1	1/1
EM00634	Mëmm; Mëmm(e)le	Substantiv	1.	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/2	2/2	1/2
EM00635	Mëmmi	Substantiv	2.	Trinker	kein_Trinken	1/1	1/1	0/1
EM00657	muemen	Verb		geifern, besonders von kleinen Kindern, beim Essen einen Teil der Speisen fallen lassen und damit die Kleider besudeln; auch von älteren Leuten und sogar vom Vieh gesagt	kein_Trinken	1/1	1/1	1/1
EM00790	Minut(e)	Substantiv		Minute	kein_Trinken	1/1	1/1	1/1
EM00830	mündig	Adjektiv		mündig, volljährig	kein_Trinken	1/1	1/1	1/1
EM00899	mapull	Adjektiv	2.	betrunken	kein_Trinken	1/1	1/1	1/1
EM01132	Marter, Martel	Substantiv		Marter, Qual	kein_Trinken	1/1	1/1	1/1
EM01217	Elfermëss	Substantiv		übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	0/1	0/1	0/1
EM01245	Fëldmësser 	Substantiv	2.	Betrunkener	kein_Trinken	1/1	1/1	1/1
EM01299	Miser	Substantiv		Elend, Kummer	kein_Trinken	1/1	1/1	1/1
EM01386	Maschin(e)	Substantiv		Maschine, bes. Dreschmaschine	kein_Trinken	1/1	1/1	1/1
EM01478	Most II, Muschk	Substantiv	1.	süsser Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EM01478	Most II, Muschk	Substantiv	2.	süsser Traubenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	1/1
EM01516	Mët(er)	Substantiv		Met	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	1/1	0/1	0/1
EM01636	Moitz I	Substantiv		Anprall einer Schnellkugel gegen einen Gegenstand, beim Spiel	kein_Trinken	1/1	1/1	1/1
EN00031	Nëbel	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
EN00094	nüechter(e)n	Adjektiv	1a)	in der Tagesfrühe weder Speise noch Trank zu sich genommen habend	kein_Trinken	0/1	1/1	1/1
EN00280	Nelli	Substantiv		Koseform des männl. Vornamens Cornelius	kein_Trinken	1/1	1/1	1/1
