xml:id	url	Sprache	Wörterbuch	Lnummer	Lemma_bereinigt	Lemma	Varianten	Wortart	Level	Definition	Konzept	Stringabgleich	ModernGBERT	Llama
EL01367	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01367	Q11	Q8	L32	leschen	leschen		Q14	1.	löschen (Feuer, Durst, Staub)	Q20	Q21	Q20	
EL01546	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01546	Q11	Q8	L33	Lüterung	Lüterung		Q13	1.	Vorbranntwein	Q38		Q38	Q38
EM00566	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00566	Q11	Q8	L34	Milch	Milch		Q13		Milch	Q33	Q33	Q33	Q33
EM00567	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00567	Q11	Q8	L35	Brieschmilch	Brieschmilch		Q13		die erste Milch der Kuh	Q33	Q33	Q33	Q33
EM00571	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00571	Q11	Q8	L36	Geisenmilch	Geisenmilch		Q13	1.	Ziegenmilch	Q33	Q33	Q33	Q33
EM00577	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00577	Q11	Q8	L37	Surmilch	Surmilch		Q13		Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Q33	Q33	Q33	Q33
EM00624	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00624	Q11	Q8	L38	Molzer	Molzer		Q13	3.	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	Q35		Q35	Q35
EM00633	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00633	Q11	Q8	L39	mëmmelen, mëmmlen	mëmmelen	mëmmlen	Q14	1.	in der Kindersprache trinken	Q20	Q20	Q20	Q20
EM00633	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00633	Q11	Q8	L39	mëmmelen, mëmmlen	mëmmelen	mëmmlen	Q14	2.	behaglich und in kleinen Zügen wiederholt trinken, von älteren Leuten und von Gewohnheitstrinkern	Q24	Q20	Q20	Q24
EM00634	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M00634	Q11	Q8	L40	Mëmm, Mëmmele, Mëmmle	Mëmm	Mëmmele, Mëmmle	Q13	1.	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	Q22; Q33	Q33	Q22; Q33	Q29; Q33
EM01217	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M01217	Q11	Q8	L41	Elfermëss	Elfermëss		Q13		übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	Q34			
EM01478	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M01478	Q11	Q8	L42	Most, Muschk	Most	Muschk	Q13	1.	süsser Apfelwein	Q36	Q31; Q36	Q36	Q36
EM01478	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M01478	Q11	Q8	L42	Most, Muschk	Most	Muschk	Q13	2.	süsser Traubenwein	Q36	Q31	Q36	Q36
EM01516	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=M01516	Q11	Q8	L43	Mëter, Mët	Mëter	Mët	Q13		Met	Q34	Q34		Q38
EN00683	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=N00683	Q11	Q8	L44	Näz	Näz		Q13	4.	schlechtes Getränk	Q22	Q22	Q22	Q22
EP00137	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00137	Q11	Q8	L45	bëcheren	bëcheren		Q14		zechen, pokulieren, tüchtig trinken	Q23; Q25	Q20; Q23	Q25	Q23
EP00228	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00228	Q11	Q8	L46	büchsen	büchsen		Q14	2.	trinken	Q20	Q20	Q20	Q20
EP00295	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00295	Q11	Q8	L47	bafen, bäfen	bafen	bäfen	Q14	2.	trinken	Q20	Q20	Q20	Q20
EP00297	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00297	Q11	Q8	L48	baferen, bäferen	baferen	bäferen	Q14	2.	tüchtig trinken	Q25	Q20	Q25	Q23
EP00429	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00429	Q11	Q8	L49	packen	packen		Q14	5.	trinken	Q20	Q20	Q20	Q20
EP00701	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00701	Q11	Q8	L50	Totenbaümpolitur	Totenbaümpolitur		Q13	2.	schlechter Schnaps	Q38	Q38	Q38	Q38
EP00808	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00808	Q11	Q8	L51	belzen	belzen		Q13	4.	trinken, saufen	Q20; Q23	Q20; Q23	Q23; Q20	Q23
EP00812	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00812	Q11	Q8	L52	us belzen	us belzen		Q13	3.	leer trinken	Q26	Q20	Q26	Q26
EP00881	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00881	Q11	Q8	L53	Bemmeri	Bemmeri		Q13	2.	schlechter Wein	Q36	Q36	Q36	Q36
EP00974	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P00974	Q11	Q8	L54	Bumpes	Bumpes		Q13	2.	gepantschter Wein	Q36	Q36	Q36	Q36
EP01277	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01277	Q11	Q8	L55	panschen, banschen	panschen	banschen	Q14	4.	viel, tüchtig essen oder trinken	Q25		Q25	
EP01449	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01449	Q11	Q8	L56	Bupperi	Bupperi		Q13	4.	schlechter Wein	Q36	Q36	Q36	Q36
EP01634	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01634	Q11	Q8	L57	Bier	Bier		Q13		Bier	Q35	Q35	Q35	Q35
EP01789	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01789	Q11	Q8	L58	Bërliner	Bërliner		Q13	2.	schlechter Schnaps, auch Bërliner Schnaps	Q38	Q38	Q38	Q38
EP01858	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01858	Q11	Q8	L59	bürsten	bürsten		Q14	3.	viel trinken	Q25	Q20; Q23	Q25	Q23
EP01859	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P01859	Q11	Q8	L60	us bursten	us bursten		Q14	2.	austrinken	Q26	Q26	Q26	Q26
EP02080	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P02080	Q11	Q8	L61	Position	Position		Q13	2.	ein gewöhnliches Trinkglas voll Schnaps	Q38		Q38	Q38
EP02088	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P02088	Q11	Q8	L62	busen	busen		Q14	2.	trinken, den Durst löschen	Q20	Q20	Q20	Q20
EP02310	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P02310	Q11	Q8	L63	Petrol	Petrol		Q13	2.	Fusel, gemeiner Schnaps	Q38	Q38	Q38	Q38
EP02606	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P02606	Q11	Q8	L64	Rachenbutzer	Rachenbutzer		Q13	1.	saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	Q36	Q36	Q36	Q36
EP02832	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P02832	Q11	Q8	L65	pfëtzen	pfëtzen		Q14	6.	trinken	Q20	Q20	Q20	Q20
EP03252	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03252	Q11	Q8	L66	Plämpel, Bämpel	Plämpel	Bämpel	Q13	2.	träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	Q22; Q42	Q22	Q40; Q22	Q42
EP03335	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03335	Q11	Q8	L67	Plappri, Plappkli	Plappri	Plappkli	Q13	2.	schwaches Getränk, insb. von Wein und Kaffee gesagt	Q22; Q42; Q36	Q22	Q40; Q22	Q36; Q42
EP03365	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03365	Q11	Q8	L68	blasen	blasen		Q14	2.	trinken, gern und viel	Q25	Q20	Q25	Q25; Q23
EP03369	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03369	Q11	Q8	L69	us blasen	us blasen		Q14	2.	austrinken	Q23; Q26	Q26	Q26	Q26
EP03708	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03708	Q11	Q8	L70	Brüeje, Brüej	Brüeje	Brüej	Q13	1.	Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft	Q31	Q42; Q36	Q29	Q29; Q36
EP03708	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03708	Q11	Q8	L70	Brüeje, Brüej	Brüeje	Brüej	Q13	2.	schlechte Suppe, schlechter Wein	Q36	Q36	Q36	Q36; Q29
EP03711	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03711	Q11	Q8	L71	Bankerottbrüej	Bankerottbrüej		Q13		schlechter Wein	Q36	Q36	Q36	Q36
EP03723	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03723	Q11	Q8	L72	Leimenbrüej	Leimenbrüej		Q13		scherzhaft für den lehmfarbigen neuen Wein	Q36			Q36
EP03724	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03724	Q11	Q8	L73	Quëtschelbrüej 	Quëtschelbrüej 		Q13	2.	schlechter Kaffee	Q42	Q42	Q42	Q42
EP03727	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03727	Q11	Q8	L74	Schnitzbrüej	Schnitzbrüej		Q13		schlechter Wein	Q36	Q36	Q36	Q36
EP03750	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03750	Q11	Q8	L75	Brocken	Brocken		Q13	4.	Hunger, Durst	Q21	Q21	Q21	Q21
EP03894	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03894	Q11	Q8	L76	Brand	Brand		Q13	8.	Durst	Q21	Q21	Q21	Q21
EP03930	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P03930	Q11	Q8	L77	Brenz	Brenz		Q13	1.	Schnaps, Fusel	Q38	Q38	Q38	Q38
EP04065	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P04065	Q11	Q8	L78	Briest, Briesch	Briest	Briesch	Q13	2.	Milch einer frischmelkenden Kuh	Q33	Q33	Q33	Q33
EP04065	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=P04065	Q11	Q8	L78	Briest, Briesch	Briest	Briesch	Q13	3.	gestockte junge Milch	Q33	Q33	Q33	Q33
ER00626	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=R00626	Q11	Q8	L79	Rum	Rum		Q13		Rum	Q38	Q38	Q38	Q38
ER00670	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=R00670	Q11	Q8	L80	Rämpes	Rämpes		Q13	1.	geringer Schnaps; schlechter Wein	Q38; Q36	Q38; Q36	Q38	Q38; Q36
ER00917	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=R00917	Q11	Q8	L81	Räppes, Räppis, Räps	Räppes	Räppis, Räps	Q13	1.	schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt	Q36	Q36	Q36	Q36
ER01113	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=R01113	Q11	Q8	L82	Rissmichum	Rissmichum		Q13		gemeiner Schnaps	Q38	Q38	Q38	Q38
ES00271	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00271	Q11	Q8	L83	Seifel	Seifel		Q13	3.	minderwertiges Getränk, Bier oder Wein	Q22; Q35; Q36	Q22; Q35	Q40; Q35	Q35; Q36
ES00272	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00272	Q11	Q8	L84	seiflen	seiflen		Q14	5.	geräuschvoll und anhaltend trinken	Q27	Q20	Q27	Q27
ES00280	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00280	Q11	Q8	L85	sufen	sufen		Q14	1.	saufen, vom Vieh	Q20	Q23	Q20	Q23
ES00280	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00280	Q11	Q8	L85	sufen	sufen		Q14	2.	grob von Menschen gesagt, trinken	Q20	Q20	Q20	Q23
ES00286	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00286	Q11	Q8	L86	us sufen	us sufen		Q14		leer saufen, leer trinken	Q26	Q23; Q26	Q26	Q26
ES00290	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00290	Q11	Q8	L87	Suff	Suff		Q13	1.	Saufgelage	Q23			
ES00291	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00291	Q11	Q8	L88	Sufens, Saufens	Sufens	Saufens	Q13	1.	Zecherei	Q23			
ES00292	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00292	Q11	Q8	L89	Gsuffs, Gsuff	Gsuffs	Gsuff	Q13	2.	schlechtes Getränk	Q22	Q22	Q22	Q22
ES00292	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00292	Q11	Q8	L89	Gsuffs, Gsuff	Gsuffs	Gsuff	Q13	1.	anhaltendes Trinken	Q20	Q22	Q25	Q20
ES00301	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00301	Q11	Q8	L90	Suferei	Suferei		Q13	2.	Trinkgelage	Q23			
ES00301	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00301	Q11	Q8	L90	Suferei	Suferei		Q13	1.	Trinklust, Trinkerei	Q23			
ES00306	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00306	Q11	Q8	L91	süfflen, säufflen	süfflen	säufflen	Q14	1.	trinken, mehr scherzhaft gesagt	Q20	Q20	Q25	Q23
ES00306	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00306	Q11	Q8	L91	süfflen, säufflen	süfflen	säufflen	Q14	2.	kleine Schlücke nehmen, aber anhaltend dabei bleiben	Q24	Q23		Q24
ES00323	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00323	Q11	Q8	L92	Saft	Saft		Q13		Saft	Q31	Q31	Q31	Q31
ES00572	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00572	Q11	Q8	L93	Katzenseckel	Katzenseckel		Q13	1.	Branntwein	Q38	Q38	Q38	Q38
ES00608	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S00608	Q11	Q8	L94	suckelen	suckelen		Q14		langsam saugen	Q24	Q20	Q24	Q24
ES01069	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S01069	Q11	Q8	L95	supperen	supperen		Q13	1.	beim Trinken ein schlürfendes Geräusch verursachen	Q27			Q27
ES01152	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S01152	Q11	Q8	L96	surpfen	surpfen		Q14	2.	mit Geräusch trinken oder vom Löffel schmatzen	Q27	Q20	Q27	Q27
ES01193	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S01193	Q11	Q8	L97	Suser	Suser		Q13		gährender Most	Q36	Q31	Q36	Q31
ES02036	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02036	Q11	Q8	L98	Schoppen	Schoppen		Q13	2.	bes. ein Schoppen Bier	Q35		Q35	Q35
ES02175	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02175	Q11	Q8	L99	schuren	schuren		Q14	2.	nach einer Hochzeit bei den Eingeladenen von Haus zu Haus gehen und zechen: die Männer trinken Wein, die Frauen Kaffee Andolsh. u. Umg	Q20; Q23		Q23; Q20	
ES02377 	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02377 	Q11	Q8	L100	schaskenen	schaskenen		Q14		trinken	Q20	Q20	Q20	Q20
ES02451	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02451	Q11	Q8	L101	dran schütten	dran schütten		Q14		trinken	Q20	Q20	Q20	Q20
ES02507	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02507	Q11	Q8	L102	Kaffeeschlabber	Kaffeeschlabber		Q13		schlechter Kaffee	Q42	Q42	Q42	Q42
ES02514	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02514	Q11	Q8	L103	Schlabberte, Schlabbete	Schlabberte	Schlabbete	Q13	2.	überh. schlechtes Getränke, kraftlose Brühe	Q22	Q42	Q22	Q29; Q34
ES02583	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02583	Q11	Q8	L104	schleifen, schleipfen	schleifen	schleipfen	Q14	5.	trinken	Q20	Q20	Q20	Q20
ES02767	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S02767	Q11	Q8	L105	schlamperen	schlamperen		Q14	2.	die Tränke saufen, vom Vieh; verächtlich auch vom Menschen	Q20	Q23	Q20	Q23
ES03013	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03013	Q11	Q8	L106	schletzen	schletzen		Q14	2.	gierig, essen oder trinken	Q25		Q25	Q25
ES03030	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03030	Q11	Q8	L107	schlutzen, schlotzen	schlutzen	schlotzen	Q14	2.	schlürfen, mit Wohlbehagen trinken	Q27	Q20; Q27	Q27	Q27
ES03133	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03133	Q11	Q8	L108	Armschmalz	Armschmalz		Q13	2.	in der Arbeiterspr. Bezeichnung für alkoholhaltige Getränke	Q34		Q34	Q34
ES03500	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03500	Q11	Q8	L109	Schnaps, Schnips	Schnaps	Schnips	Q13	1.	Schnaps, Branntwein	Q38	Q38	Q38	Q38
ES03505	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03505	Q11	Q8	L110	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Quëtschelschnaps	Quëtschenschnaps, Quetschenschnaps	Q13		Branntwein aus Zwetschen	Q38	Q38	Q38	Q38
ES03507	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03507	Q11	Q8	L111	schnapsen	schnapsen		Q14	1.	Schnaps trinken	Q23	Q20; Q23	Q23	Q23
ES03508	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03508	Q11	Q8	L112	schnäpslen	schnäpslen		Q14	1.	Schnäpschen trinken	Q23	Q20	Q23	Q23
ES03812	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03812	Q11	Q8	L113	schwächen	schwächen		Q14		trinken, zechen, saufen	Q23	Q20; Q23	Q23	Q23
ES03991	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S03991	Q11	Q8	L114	schwerzen	schwerzen		Q14	2.	trinken	Q20	Q20	Q20	Q20
ES04513	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S04513	Q11	Q8	L115	Sprit	Sprit		Q13	2.	schlechter Schnaps	Q38	Q38	Q38	Q38
ES04525	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S04525	Q11	Q8	L116	spritzen, spretzen	spritzen	spretzen	Q14	4.	trinken	Q20	Q20	Q20	Q20
ES04532	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S04532	Q11	Q8	L117	Spritzer, Spretzer	Spritzer	Spretzer	Q13	5.	kleine Menge Branntwein, die man in den schwarzen Kaffee giesst	Q38	Q38		Q45
ES04592	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S04592	Q11	Q8	L118	stäüben	stäüben		Q14	6.	derb für trinken	Q20		Q20	Q23
ES05370	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=S05370	Q11	Q8	L119	Stöpferle	Stöpferle		Q13	1.	petschierter Flaschenwein	Q36		Q36	Q36
ET00024	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=T00024	Q11	Q8	L120	Tee	Tee		Q13	2.	Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen	Q41	Q41	Q40	Q41
ET00025	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=T00025	Q11	Q8	L121	Brusttee	Brusttee		Q13	1.	Brusttee	Q41		Q41	Q41
