"PU00917"	"unter-irdisch"	"Substantiv"	"der aus Kartoffeln hergestellte Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EF00900"	"Fusel"	"Substantiv"	"geringer, schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EF01024"	"Vitriol"	"Substantiv"	"schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG00225"	"Rattengift"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG00272"	"Giger"	"Substantiv"	"schlechte Sorte Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG00282"	"Giges, Gigs"	"Substantiv"	"schlechter Branntwein, Fusel; schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EG00283"	"Burlegiges"	"Substantiv"	"schlechter, gewässerter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EG01048"	"Geist"	"Substantiv"	"Weingeist, Alkohol"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG01127"	"Herrgöttel"	"Substantiv"	"ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EK00182"	"Kaffee, Kaffi"	"Substantiv"	"Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EK01109"	"Kirs(e), Kirsch"	"Substantiv"	"Kirschbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EK01744"	"Kläw(n)er, Kläfler"	"Substantiv"	"Wein daraus"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EK02026"	"Kräbel"	"Substantiv"	"Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EK02032"	"Krëbser"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EL00463"	"Vorlauf"	"Substantiv"	"der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EL01179"	"Lur(e), Lür"	"Substantiv"	"schlechte Brühe überhaupt, bes. Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EL01179"	"Lur(e), Lür"	"Substantiv"	"schlechter Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EL01179"	"Lur(e), Lür"	"Substantiv"	"leichter Wein, hergestellt durch Vermischen mit Wasser"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EL01179"	"Lur(e), Lür"	"Substantiv"	"ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EL01180"	"Lappenlur(e), Lappenlür"	"Substantiv"	"schwacher, saurer, matter, verwässerter Wein oder Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EL01546"	"Lüterung"	"Substantiv"	"Vorbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EM00566"	"Milch"	"Substantiv"	"Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EM00567"	"Brieschmilch"	"Substantiv"	"die erste Milch der Kuh"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EM00571"	"Geisenmilch"	"Substantiv"	"Ziegenmilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EM00577"	"Surmilch"	"Substantiv"	"Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EM00624"	"Molzer"	"Substantiv"	"Biersorte, die teils aus Lager-, teils aus Jungbier besteht"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk"	"Getränk"
"EM00634"	"Mëmm; Mëmm(e)le"	"Substantiv"	"in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt"	"Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EM01217"	"Elfermëss"	"Substantiv"	"übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk"	"Getränk"	"Getränk"
"EM01478"	"Most II, Muschk"	"Substantiv"	"süsser Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EM01478"	"Most II, Muschk"	"Substantiv"	"süsser Traubenwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EN00683"	"Näz"	"Substantiv"	"schlechtes Getränk"	"Getränk"	"Getränk"	"Getränk"
"EP00701"	"Totenbaümpolitur"	"Substantiv"	"schlechter Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EP00881"	"Bemmeri"	"Substantiv"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP00974"	"Bumpes"	"Substantiv"	"gepantschter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP01449"	"Bupperi"	"Substantiv"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP01634"	"Bier"	"Substantiv"	"Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk"	"Getränk"
"EP01789"	"Bërliner"	"Substantiv"	"schlechter Schnaps, auch Bërliner Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EP02080"	"Position"	"Substantiv"	"ein gewöhnliches Trinkglas voll Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EP02310"	"Petrol"	"Substantiv"	"Fusel, gemeiner Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EP02606"	"Rachenbutzer"	"Substantiv"	"saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03252"	"Plämpel, Bämpel"	"Substantiv"	"träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee"	"Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EP03335"	"Plappri, Plappkli"	"Substantiv"	"schwaches Getränk, insb. von Wein und Kaffee gesagt"	"Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03708"	"Brüej(e)"	"Substantiv"	"Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"Getränk"	"Getränk"
"EP03708"	"Brüej(e)"	"Substantiv"	"schlechte Suppe, schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03711"	"Bankerottbrüej"	"Substantiv"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03723"	"Leimenbrüej"	"Substantiv"	"scherzhaft für den lehmfarbigen neuen Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03724"	"Qutschelbrüej"	"Substantiv"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EP03727"	"Schnitzbrüej"	"Substantiv"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EP03930"	"Brenz"	"Substantiv"	"Schnaps, Fusel"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EP04065"	"Briest, Briesch"	"Substantiv"	"Milch einer frischmelkenden Kuh"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"EP04065"	"Briest, Briesch"	"Substantiv"	"gestockte junge Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"ER00626"	"Rum I"	"Substantiv"	"Rum"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ER00670"	"Rämpes"	"Substantiv"	"geringer Schnaps; schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"ER00917"	"Räppes, Räppis, Räps"	"Substantiv"	"schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"ER01113"	"Rissmichum"	"Substantiv"	"gemeiner Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES00271"	"Seifel"	"Substantiv"	"minderwertiges Getränk, Bier oder Wein"	"Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"ES00292"	"Gsuff(s)"	"Substantiv"	"schlechtes Getränk"	"Getränk"	"Getränk"	"Getränk"
"ES00323"	"Saft"	"Substantiv"	"Saft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"Getränk"	"Getränk"
"ES00572"	"Katzenseckel"	"Substantiv"	"Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES01193"	"Suser"	"Substantiv"	"gährender Most"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Since ""Most"" can be translated to ""cider"" or a type of beverage, and given the definition ""gährender Most"", it seems that ""Suser"" refers to a kind of drink. Therefore, the category should be **Getränk**. 

The answer is: Getränk"
"ES02036"	"Schoppen"	"Substantiv"	"bes. ein Schoppen Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk"	"Getränk"
"ES02507"	"Kaffeeschlabber"	"Substantiv"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"ES02514"	"Schlabberte, Schlabbete"	"Substantiv"	"überh. schlechtes Getränke, kraftlose Brühe"	"Getränk"	"Getränk"	"Getränk"
"ES03133"	"Armschmalz"	"Substantiv"	"in der Arbeiterspr. Bezeichnung für alkoholhaltige Getränke"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk"	"Getränk"	"Getränk"
"ES03500"	"Schnaps, Schnips"	"Substantiv"	"Schnaps, Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES03505"	"Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps"	"Substantiv"	"Branntwein aus Zwetschen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES04513"	"Sprit"	"Substantiv"	"schlechter Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES04532"	"Spritzer, Spretzer"	"Substantiv"	"kleine Menge Branntwein, die man in den schwarzen Kaffee giesst"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ES05370"	"Stöpferle"	"Substantiv"	"petschierter Flaschenwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"ET00024"	"Tee"	"Substantiv"	"Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"Getränk"	"Getränk"
"ET00025"	"Brusttee"	"Substantiv"	"Brusttee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"Getränk"	"Since ""Brusttee"" is a type of tea, which falls under the category of beverages, the correct answer would be:

Getränk"
"ET01557"	"Düttle, Düttel"	"Substantiv"	"Muttermilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk"	"Getränk"
"ET01713"	"Traberen, Träberen"	"Substantiv"	"Treberbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ET01926"	"Teüfelsdrëck"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"ET02152"	"Säütränke"	"Substantiv"	"schlechtes Getränk, z. B. schlechter Wein"	"Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"ET02252"	"Druesen, Drusen"	"Substantiv"	"Branntwein aus Weinhefe gewonnen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW00675"	"Äpfelwi(n)"	"Substantiv"	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00678"	"Birenwi(n)"	"Substantiv"	"Birnwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00679"	"Branntenwi(n), Brënntewi(n)"	"Substantiv"	"Branntwein, Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW00682"	"Dreimännerwin"	"Substantiv"	"Wein, der so sauer ist, dass drei Männer den Trinkenden festhalten müssen (sonst würde er  sich weigern, ihn zu nehmen)"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00685"	"Edelwin"	"Substantiv"	"feine Sorte Weisswein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00686"	"Ehrwein"	"Substantiv"	"Ehrenwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"To categorize the dictionary entry for ""Ehrwein"" with its definition ""Ehrenwein"", we should understand what ""Ehrenwein"" refers to. ""Ehrenwein"" is a term that could be translated to ""wine of honor"" or a wine served at special occasions, implying it's a type of beverage.

Given the categories:
1. **trinken** (to drink)
2. **Durst** (thirst)
3. **Getränk** (beverage)
4. **other**

Since ""Ehrwein"" or ""Ehrenwein"" refers to a specific type of wine, which is a beverage, the most fitting category would be **Getränk**, as it directly relates to drinks or beverages.

The answer is: Getränk"
"EW00688"	"Gänswin"	"Substantiv"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00690"	"Grumbirenbrënntewin"	"Substantiv"	"Branntwein aus gegorenen Kartoffeln"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW00706"	"Stichwin"	"Substantiv"	"der zur Probe aus dem Fass genommene Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00712"	"Trinkwi(n)"	"Substantiv"	"leichter Wein, der gewonnen wird, wenn man nach dem Pressen der Trauben die Träber mit Wasser übergiesst und nach einem Zuckerzusatz nochmals gären lässt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW00713"	"Truebwi(n), Trüebwi(n)"	"Substantiv"	"Trübwein, der letzte, nicht mehr klare W. aus einem Fasse"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EW01009"	"Wermuet"	"Substantiv"	"Wermutbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW01152"	"Wasser"	"Substantiv"	"Wasser, Trinkwasser, Quellwasser, Regenwasser, Fluss, Teich, See, Meer. Von einem Arbeitsscheuen"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"	"Getränk"	"Getränk"
"EW01154"	"Bappelwasser"	"Substantiv"	"Tee aus Blättern der Rosenpappel"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"Getränk"	"Getränk"
"EW01154"	"Bappelwasser"	"Substantiv"	"geistige Getränke"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW01168"	"Kirsenwasser, Kirschenwasser"	"Substantiv"	"Branntwein aus Kirschen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EW01182"	"Schüsselwasser"	"Substantiv"	"schlechter Kaffee; dünne, kraftlose Suppe"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EW01183"	"Seckelwasser"	"Substantiv"	"schlechtes Getränk, Wein und Bier"	"Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk"	"Getränk"
"EW01189"	"Wichtwasser, Gewichtwasser, Wihwasser"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EZ00219"	"Zucker II"	"Substantiv"	"Gläschen Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"LA00253"	"Änes"	"Substantiv"	"Anisbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"LA00351"	"Appelvitz"	"Substantiv"	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"LA00352"	"Äbbel-win"	"Substantiv"	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"LB00004"	"Babbel-wasser"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"LB00183"	"Bäre-dreck"	"Substantiv"	"Süßholzsaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"Getränk"	"Getränk"
"LB00331"	"Paure-wein"	"Substantiv"	"ungekelteter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
