"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"	"Konzept_gemappt"
"PB00373"	"Bajaß-seiche"	"Substantiv"	"-"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB00514"	"bambuschieren"	"Verb"	"-"	"zechen"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB00523"	"Bampel-brühe"	"Substantiv"	"-"	"minderwertiger Wein, dünner Kaffee"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein;Getränk.Heißgetränk.Alkoholfreies_Heißgetränk"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB00549"	"Bamsche"	"Substantiv"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB00550"	"bamscheln"	"Verb"	"-"	"trinken"	"Trinken"	"Trinken"
"PB00551"	"bamschen"	"Verb"	"-"	"viel trinken, saufen"	"Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken"	"Trinken; Trinken.Alkohol_trinken"
"PB00617"	"Bankerotts-brühe, Bankerott-brühe"	"Substantiv"	"-"	"dünner, schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB00620"	"Bankerottsmacher-brühe, Bankerottmacher-brühe"	"Substantiv"	"-"	"dünner, schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB00669"	"panschen"	"Verb"	3	"zechen, saufen"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB00757"	"Pappel-wasser"	"Substantiv"	2	"geringwertiger Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB01168"	"Batzen-wein"	"Substantiv"	"-"	"minderwertiger Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB01184"	"Bauch-bläser"	"Substantiv"		"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB01216"	"Bauchweh-wasser"	"Substantiv"	"-"	"Zwetschgenschnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"PB01220"	"Baudel-brühe"	"Substantiv"	"-"	"Malzkaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee"
"PB01317"	"Bauern-wein"	"Substantiv"	"-"	"Wein, den die Bauern für den eigenen Gebrauch herstellen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB01491"	"bechern"	"Verb"	"-"	"viel trinken, zechen"	"Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken"	"Trinken; Trinken.Alkohol_trinken"
"PB01499"	"Pech-milch"	"Substantiv"	"-"	"die erste gelbe Milch der Kuh nach dem Kalben"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PB01537"	"be-diaduseln"	"Verb"	"-"	"betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB01548"	"be-dudeln"	"Verb"	2	"betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB01633"	"be-hauen"	"Verb"	"2a"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB01838"	"be-ledern"	"Verb"	"-"	"betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB01910"	"bemschen"	"Verb"	3	"tüchtig trinken"	"Trinken.Schnell_große_Mengen_trinken"	"Trinken"
"PB01928"	"be-nebeln"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02056"	"perlen"	"Verb"	"'1.1."	"trinken"	"Trinken"	"Trinken"
"PB02066"	"Perl-kaffee"	"Substantiv"	"-"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"PB02122"	"be-rußen"	"Verb"	2	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02130"	"be-sabeln"	"Verb"	1	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02133"	"be-saufen"	"Verb"	"-"	"besaufen"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02138"	"be-schaskeln, -schassen"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02160"	"be-schlagen"	"Verb"	2	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02172"	"be-schnussen"	"Verb"	"-"	"betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02193"	"be-seibeln"	"Verb"	2	"betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02354"	"be-trudeln"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02495"	"be-tutern"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02576"	"be-zechen"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"	"Trinken.Alkohol_trinken"
"PB02644"	"Pfand-wein"	"Substantiv"		"verpfändeter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB02736"	"Pfeffer-minze, -minz"	"Substantiv"	2	"Pfefferminztee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"kein_Trinken"
"PB02740"	"Pfefferminz-tee"	"Substantiv"	"-"	"Pfefferminztee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"kein_Trinken"
"PB02741"	"Pfefferminz-wasser"	"Substantiv"	"-"	"Getränk aus Pfefferminzessenz und Wasser"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink"	"Getränk"
"PB02869"	"Pferds-milch"	"Substantiv"	"-"	"Stutenmilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"kein_Trinken"
"PB02917"	"pfetzen"	"Verb"	6	"trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB02931"	"pfiffeln"	"Verb"	2	"ein kleines Glas Wein trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB02932"	"pfiffen"	"Verb"	"-"	"ein kleines Glas Wein trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB03008"	"Pflaster"	"Substantiv"	"4b"	"Erdbeerwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB03368"	"Bier"	"Substantiv"	"-"	"Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"PB03415"	"Bier-schlorum"	"Substantiv"	"-"	"schlechtes Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"PB03442"	"Biest-milch"	"Substantiv"	"-"	"die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PB03609"	"Pink-pille"	"Substantiv"	1	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB03661"	"Bippel-henker"	"Substantiv"	"-"	"derbe Bez. für schlechten Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"kein_Trinken"
"PB03661"	"Bippel-henker"	"Substantiv"	"E2"	"Tresterwein, Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB03715"	"Birnen-bumpes"	"Substantiv"	"-"	"Wein, den man aus Birnenselbst hergestellt hat"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB03729"	"Birnen-most"	"Substantiv"	"-"	"Birnensaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"kein_Trinken"
"PB03731"	"Birnen-puff"	"Substantiv"	"-"	"Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB03733"	"Birnen-saft"	"Substantiv"	"-"	"Birnensaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"kein_Trinken"
"PB03735"	"Birnen-schnackel"	"Substantiv"	"-"	"verächtlich für schlechten Birnenwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB03741"	"Birnen-wein"	"Substantiv"	"-"	"Birnenwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB03816"	"pitschen"	"Verb"	1	"trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB03844"	"Bitter-wasser"	"Substantiv"	"-"	"ein sehr bitter schmeckendes Mineralwasser"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"
"PB03868"	"Bitzler"	"Substantiv"	1	"junger, noch gärender Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB03946"	"Plämpel"	"Substantiv"	2	"schlechter Wein, minderwertiger Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB03947"	"Plämpel-brühe"	"Substantiv"	"-"	"schlechter Wein, minderwertiger Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB03948"	"plämpern"	"Verb"	"-"	"oft trinken"	"Trinken.Häufig_lange_trinken"	"Trinken"
"PB04011"	"blasen"	"Verb"	3	"einen trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB04154"	"blau"	"Substantiv"	"4a'b"	"Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"PB04279"	"Bleff"	"Substantiv"	"-"	"Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB04398"	"blitzen"	"Verb"	"x'1.2d"	"trinken"	"Trinken"	"Trinken"
"PB04481"	"Blume"	"Substantiv"	"2g"	"Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB04647"	"Blut-wein"	"Substantiv"	"-"	"Rotwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB04693"	"Bock-bier"	"Substantiv"	"-"	"Starkbier mit hohem Stammwürzegehalt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"PB04748"	"Böckser"	"Substantiv"	"1a"	"von verdorbenem Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB04748"	"Böckser"	"Substantiv"	"1b"	"Most, der in der Gärung das Süße verloren hat"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"PB04748"	"Böckser"	"Substantiv"	"1c"	"Wein mit Bodengeschmack"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB04755"	"Böcksler"	"Substantiv"	2	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB04755"	"Böcksler"	"Substantiv"	1	"Wein mit Bodengeschmack"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB04761"	"Bocks-seiche"	"Substantiv"	"-"	"schlechtes Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"PB04859"	"Bohnen-kaffee"	"Substantiv"	"-"	"Bohnenkaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"kein_Trinken"
"PB04922"	"Polack"	"Substantiv"	5	"Rest eines Getränkes im Glas"	"Getränk"	"kein_Trinken"
"PB05580"	"Brand"	"Substantiv"	"6e"	"brennender Durst"	"Durst"	"Durst"
"PB05629"	"Brannte-wein, Brannt-wein"	"Substantiv"	"-"	"Branntewein, Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"PB05642"	"Branntwein-schnäpsel"	"Substantiv"	"-"	"ein Gläschen Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"
"PB05678"	"Brast"	"Substantiv"	"1.4"	"Durst"	"Durst"	"Durst"
"PB05724"	"Bratz"	"Substantiv"	"-"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB05741"	"Brauhaus-bier"	"Substantiv"	"-"	"Biersorte aus Frankth"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"	"kein_Trinken"
"PB06029"	"Preß-most"	"Substantiv"	"-"	"durch Pressen gewonnener Obstsaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"kein_Trinken"
"PB06123"	"Briester"	"Substantiv"	"-"	"erste Milch nach dem Kalben"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PB06125"	"Briester-milch"	"Substantiv"	"-"	"erste Milch nach dem Kalben"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PB06313"	"Brombeerenlaub-tee"	"Substantiv"	"-"	"Brombeerenblättertee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"kein_Trinken"
"PB06369"	"prosten"	"Verb"	1	"trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB06370"	"prostern"	"Verb"	"-"	"trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB06562"	"Brühe"	"Substantiv"	"3b"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB06562"	"Brühe"	"Substantiv"	2	"Beeren-, Gemüsesaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"PB06562"	"Brühe"	"Substantiv"	"3a"	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB06629"	"Brummelsbeerblätter-tee"	"Substantiv"	"-"	"Brombeerblättertee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee"	"kein_Trinken"
"PB06831"	"Bruttel"	"Substantiv"	"1c"	"trübe Brühe"	"Getränk"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB06831"	"Bruttel"	"Substantiv"	"1d"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB06832"	"Bruttel-brühe"	"Substantiv"	"-"	"schlechtes Kaffeegetränk"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"kein_Trinken"
"PB06974"	"Büchsen-milch"	"Substantiv"	"-"	"Büchsenmilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PB07038"	"Buckskin"	"Substantiv"	2	"schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB07052"	"Pudel"	"Substantiv"	"2.3"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB07085"	"Puff"	"Substantiv"	"1.2"	"Haustrunk"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"
"PB07095"	"büffeln"	"Verb"	2	"trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB07098"	"büffen"	"Verb"	2	"einen trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB07195"	"pulvern, pülvern"	"Verb"	3	"einen trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB07266"	"pumpen"	"Verb"	"1b"	"einen trinken"	"Trinken.Alkohol_trinken"	"Trinken"
"PB07282"	"Bumpes"	"Substantiv"	"1.4"	"schlechter Wein, Tresterwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PB07289"	"bumpsen, bumsen"	"Verb"	3	"ein Glas Wein trinken"	"Trinken.Alkohol_trinken"	"Trinken"
