xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Top_1	Konzeptübereinstimmung
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	perfekt
PA02886	Ast-heimer	Astheimer	Substantiv	-	Birnwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PA03164	auf-laden	aufladen	Verb	1b	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PA03607	aus-bürsten	ausbürsten	Verb	2	austrinken, leer trinken	Trinken.Austrinken	Trinken.Austrinken	perfekt
PA03730	aus-gluckern	ausgluckern	Verb	-	austrinken	Trinken.Austrinken	Trinken.Austrinken	perfekt
PA03809	aus-läppern	ausläppern	Verb	-	in kleinen Schlucken austrinken	Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Austrinken	perfekt
PA03882	aus-pitschen	auspitschen	Verb	-	austrinken	Trinken.Alkohol_trinken; Trinken.Austrinken	Trinken.Austrinken	perfekt
PA03957	aus-saufen	aussaufen	Verb	1	leer saufen	Trinken.Austrinken	Trinken.Austrinken	perfekt
PA04011	aus-schöppeln	ausschöppeln	Verb	-	zu Ende schöppeln, trinken	Trinken.Austrinken; Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken	perfekt
PA04088	Aus-stich	Ausstich	Substantiv	2	Beerenauslese, edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PA04089	Ausstich-wein	Ausstichwein	Substantiv	-	edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PA04127	aus-trinken	austrinken	Verb	-	durch Trinken leer machen	Trinken.Austrinken	kein_Trinken	kein
PB00145	Päckel-brühe	Päckelbrühe	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	perfekt
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	perfekt
PB00514	bambuschieren	bambuschieren	Verb	-	zechen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB00550	bamscheln	bamscheln	Verb	-	trinken	Trinken	Trinken	perfekt
PB00551	bamschen	bamschen	Verb	-	viel trinken, saufen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	perfekt
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PB00669	panschen	panschen	Verb	3	zechen, saufen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB01216	Bauchweh-wasser	Bauchwehwasser	Substantiv	-	Zwetschgenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	perfekt
PB01317	Bauern-wein	Bauernwein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB01491	bechern	bechern	Verb	-	viel trinken, zechen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken	perfekt
PB01499	Pech-milch	Pechmilch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB01910	bemschen	bemschen	Verb	3	tüchtig trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	perfekt
PB01928	be-nebeln	benebeln	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02056	perlen	perlen	Verb	'1.1.	trinken	Trinken	Trinken	perfekt
PB02122	be-rußen	berußen	Verb	2	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02133	be-saufen	besaufen	Verb	-	besaufen	Trinken.Alkohol_trinken	kein_Trinken	kein
PB02138	be-schaskeln, -schassen	beschaskeln, beschassen	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02160	be-schlagen	beschlagen	Verb	2	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02172	be-schnussen	beschnussen	Verb	-	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02193	be-seibeln	beseibeln	Verb	2	betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02354	be-trudeln	betrudeln	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02495	be-tutern	betutern	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB02644	Pfand-wein	Pfandwein	Substantiv		verpfändeter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB02740	Pfefferminz-tee	Pfefferminztee	Substantiv	-	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	perfekt
PB03368	Bier	Bier	Substantiv	-	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB03415	Bier-schlorum	Bierschlorum	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB03442	Biest-milch	Biestmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB03609	Pink-pille	Pinkpille	Substantiv	1	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PB03661	Bippel-henker	Bippelhenker	Substantiv	-	derbe Bez. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	perfekt
PB03715	Birnen-bumpes	Birnenbumpes	Substantiv	-	Wein, den man aus Birnenselbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB03729	Birnen-most	Birnenmost	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	perfekt
PB03731	Birnen-puff	Birnenpuff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB03733	Birnen-saft	Birnensaft	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	perfekt
PB03735	Birnen-schnackel	Birnenschnackel	Substantiv	-	verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB03741	Birnen-wein	Birnenwein	Substantiv	-	Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB03947	Plämpel-brühe	Plämpelbrühe	Substantiv	-	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB03948	plämpern	plämpern	Verb	-	oft trinken	Trinken	Trinken.Schnell_große_Mengen_trinken; Trinken	perfekt
PB04011	blasen	blasen	Verb	3	einen trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB04154	blau	blau	Substantiv	4a'b	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	perfekt
PB04279	Bleff	Bleff	Substantiv	-	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB04398	blitzen	blitzen	Verb	x'1.2d	trinken	Trinken	Trinken	perfekt
PB04481	Blume	Blume	Substantiv	2g	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB04647	Blut-wein	Blutwein	Substantiv	-	Rotwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB04693	Bock-bier	Bockbier	Substantiv	-	Starkbier mit hohem Stammwürzegehalt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB04748	Böckser	Böckser	Substantiv	1b	Most, der in der Gärung das Süße verloren hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB04748	Böckser	Böckser	Substantiv	1c	Wein mit Bodengeschmack	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB04755	Böcksler	Böcksler	Substantiv	2	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PB04761	Bocks-seiche	Bocksseiche	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB04922	Polack	Polack	Substantiv	5	Rest eines Getränkes im Glas	Getränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk; Getränk	perfekt
PB05580	Brand	Brand	Substantiv	6e	brennender Durst	Durst	Durst	perfekt
PB05629	Brannte-wein, Brannt-wein	Branntewein, Branntwein	Substantiv	-	Branntewein, Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	perfekt
PB05741	Brauhaus-bier	Brauhausbier	Substantiv	-	Biersorte aus Frankth	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB06029	Preß-most	Preßmost	Substantiv	-	durch Pressen gewonnener Obstsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	perfekt
PB06123	Briester	Briester	Substantiv	-	erste Milch nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB06125	Briester-milch	Briestermilch	Substantiv	-	erste Milch nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB06313	Brombeerenlaub-tee	Brombeerenlaubtee	Substantiv	-	Brombeerenblättertee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	perfekt
PB06369	prosten	prosten	Verb	1	trinken	Trinken.Alkohol_trinken	Trinken	perfekt
PB06562	Brühe	Brühe	Substantiv	3b	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PB06562	Brühe	Brühe	Substantiv	3a	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB06831	Bruttel	Bruttel	Substantiv	1c	trübe Brühe	Getränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser; Getränk	perfekt
PB06974	Büchsen-milch	Büchsenmilch	Substantiv	-	Büchsenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB07052	Pudel	Pudel	Substantiv	2.3	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PB07085	Puff	Puff	Substantiv	1.2	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB07095	büffeln	büffeln	Verb	2	trinken	Trinken.Alkohol_trinken	Trinken	perfekt
PB07195	pulvern, pülvern	pulvern, pülvern	Verb	3	einen trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB07266	pumpen	pumpen	Verb	1b	einen trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PB07282	Bumpes	Bumpes	Substantiv	1.4	schlechter Wein, Tresterwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB07289	bumpsen, bumsen	bumpsen, bumsen	Verb	3	ein Glas Wein trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken	perfekt
PB07380	Buppes	Buppes	Substantiv	1	minderwertiger Wein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PB07749	Butter-milch	Buttermilch	Substantiv	-	Buttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PB07865	Butzicht-milch	Butzichtmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PD00309	Taglöhners-wein, Taglöhner-wein	Taglöhnerswein, Taglöhnerwein	Substantiv	-	Wein, den die im Taglohn Arbeitenden von den Weinbauern erhalten	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD00571	Dämmer-schoppen	Dämmerschoppen	Substantiv	-	kleiner Abendtrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	perfekt
PD00850	daran-gießen	darangießen	Verb	-	einen Schoppen, ein Gläschen u.ä. trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PD01407	Tausendgüldenkraut-tee	Tausendgüldenkrauttee	Substantiv	-	Tee aus Tausendguldenkraut	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	perfekt
PD01473	dawider-schütten	dawiderschütten	Verb	-	einen trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	perfekt
PD01569	Tee	Tee	Substantiv	2	Kräutertee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	perfekt
PD02004	Teufels-gesöff, Teufel-gesöff	Teufelsgesöff, Teufelgesöff	Substantiv	-	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	perfekt
PD02573	Tisch-wein	Tischwein	Substantiv	-	Wein, der zum Essen getrunken wird, Wein von geringerer Qualität	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD02628	Dividenden-wasser	Dividendenwasser	Substantiv	-	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PD02843	tönen	tönen	Verb	2	tüchtig, viel trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	perfekt
PD02922	Doppel-bier	Doppelbier	Substantiv	-	Starkbier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	kein_Trinken	kein
PD02947	Doppel-kümmel	Doppelkümmel	Substantiv	-	doppelt abgezogener Kümmelbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	perfekt
PD03186	torschen	torschen	Verb	-	tüchtig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	perfekt
PD03599	tränken	tränken	Verb	1c	trinken	Trinken.Alkohol_trinken	Trinken	perfekt
PD03746	Trauben-most	Traubenmost	Substantiv	-	Traubenmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	perfekt
PD03764	Trauben-wein	Traubenwein	Substantiv	-	Wein aus Traubenbeeren	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD03870	Treber-most	Trebermost	Substantiv		Nachwein aus Traubentrestern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD03964	Dreck-milch	Dreckmilch	Substantiv	-	die erste, dicke Milch der Kuh nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	perfekt
PD04171	Drei-männer	Dreimänner	Substantiv	-	schlechter, saurer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04291	Trester-most	Trestermost	Substantiv	-	Nachwein aus Traubentrestern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	kein
PD04296	Trester-wasser	Tresterwasser	Substantiv	-	aus TraubenrückständenZucker und Wasser hergestellter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04433	Trink-branntwein	Trinkbranntwein	Substantiv	-	Branntwein zum Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Trinken.Alkohol_trinken	voll
PD04435	trinken	trinken	Verb	1b	regelmäßig und zuviel Alkohol trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken	perfekt
PD04436	Trinkens, Trinken	Trinkens, Trinken	Substantiv	2a	Getränk für Menschen	Getränk	Getränk	perfekt
PD04443	Trink-stieben	Trinkstieben	Substantiv	-	heftiger Durst	Durst	Durst	perfekt
PD04445	Trink-wasser	Trinkwasser	Substantiv	-	Trinkwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	perfekt
PD04446	Trink-wein	Trinkwein	Substantiv	-	minderer Wein, der als Haustrunk dient	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04611	Tropfs-bier	Tropfsbier	Substantiv	-	Bier, das nach dem Einschenken vom Hahn abtropft	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PD04688	Trub-wein	Trubwein	Substantiv	-	der durch die Hefe getrübte letzte Wein im Faß	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04691	Druck	Druck	Substantiv	3	durch Keltern gewonnener Most	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04713	Drücker	Drücker	Substantiv	1c	ausgepreßter Most	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
PD04804	Trunk	Trunk	Substantiv	1	was man auf einmal trinkt	Getränk	kein_Trinken	kein
PD04809	Trunk-wein	Trunkwein	Substantiv	x	minderer Wein, der als Haustrunk dient	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	perfekt
